,Player,Nation,Pos,Age,90s,performance_CrdY,performance_CrdR,performance_2CrdY,performance_Fls,performance_Fld,performance_Off,performance_Crs,performance_Int,performance_TklW,performance_PKwon,performance_PKcon,performance_OG,performance_Recov,aerial_duels_Won,aerial_duels_Lost,aerial_duels_Won%,Matches,Team,Season
159,Nicolas Pépé,ci CIV,"FW,MF",29-345,13.6,3,0,0,20,19,8,39,5,8,1,0,0,42,15,18,45.5,Matches,Villarreal,2024
160,Willy Kambwala,fr FRA,DF,20-257,10.4,1,1,0,5,0,0,0,8,8,0,0,0,24,14,16,46.7,Matches,Villarreal,2024
161,Eric Bailly,ci CIV,DF,31-027,6.9,2,1,0,7,1,0,0,6,4,0,1,0,19,11,7,61.1,Matches,Villarreal,2024
162,Ilias Akhomach,ma MAR,"MF,FW",21-023,6.5,1,0,0,9,21,1,18,3,7,0,0,0,30,6,6,50.0,Matches,Villarreal,2024
163,Gerard Moreno,es ESP,FW,33-032,7.2,0,0,0,10,9,1,10,2,4,1,0,0,21,16,4,80.0,Matches,Villarreal,2024
164,Denis Suárez,es ESP,MF,31-123,5.9,0,0,0,1,6,0,23,1,7,0,0,0,19,1,6,14.3,Matches,Villarreal,2024
165,Pau Navarro,es ESP,DF,20-014,7.2,1,0,0,7,7,0,2,3,14,0,0,0,38,4,11,26.7,Matches,Villarreal,2024
166,Tajon Buchanan,ca CAN,MF,26-090,3.3,2,0,0,10,14,4,16,1,4,0,0,0,20,3,2,60.0,Matches,Villarreal,2024
167,Arnaut Danjuma,nl NED,FW,28-098,2.2,1,0,0,1,1,3,0,0,1,0,0,0,2,2,0,100.0,Matches,Villarreal,2024
168,Alfonso Pedraza,es ESP,"DF,MF",29-030,3.1,0,0,0,2,2,0,21,4,2,0,0,0,12,4,1,80.0,Matches,Villarreal,2024
169,Juan Bernat,es ESP,"DF,MF",32-069,2.4,0,0,0,0,2,1,9,1,7,0,0,0,13,5,2,71.4,Matches,Villarreal,2024
170,Ramón Terrats,es ESP,"MF,FW",24-203,1.5,1,0,0,2,2,0,5,2,3,0,0,0,11,3,2,60.0,Matches,Villarreal,2024
171,Pau Cabanes,es ESP,"MF,FW",20-081,1.8,0,0,0,4,7,0,6,3,4,1,0,0,6,1,2,33.3,Matches,Villarreal,2024
172,Arnau Solà,es ESP,MF,22-035,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches,Villarreal,2024
173,Thiago Ojeda,ar ARG,MF,22-117,0.1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,Matches,Villarreal,2024
174,Karl Etta,cm CMR,MF,21-207,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,100.0,Matches,Villarreal,2024
175,Vicente Guaita,es ESP,GK,38-119,30.0,0,0,0,0,4,0,0,0,0,0,0,0,66,9,0,100.0,Matches,Celta Vigo,2024
