,Player,Nation,Pos,Age,ptime_MP,ptime_Starts,ptime_Min,ptime_90s,perf_Gls,perf_Ast,perf_G+A,perf_G-PK,perf_PK,perf_PKatt,perf_CrdY,perf_CrdR,exp_xG,exp_npxG,exp_xAG,exp_npxG+xAG,prog_PrgC,prog_PrgP,prog_PrgR,p90_Gls,p90_Ast,p90_G+A,p90_G-PK,p90_G+A-PK,p90_xG,p90_xAG,p90_xG+xAG,p90_npxG,p90_npxG+xAG,Matches,Team,Season,MP
5,Lucas Digne,fr FRA,DF,31-291,,27,2261.0,25.1,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,4.4,5.1,23.0,55.0,140.0,0.0,0.16,0.16,0.0,0.16,0.03,0.17,0.2,0.03,0.2,Matches,Aston Villa,2024,31.0
6,John McGinn,sct SCO,"MF,FW",30-201,,25,2052.0,22.8,1.0,4.0,5.0,1.0,0.0,0.0,7.0,0.0,2.9,2.6,3.4,6.0,31.0,96.0,72.0,0.04,0.18,0.22,0.04,0.22,0.13,0.15,0.28,0.11,0.27,Matches,Aston Villa,2024,31.0
7,Pau Torres,es ESP,DF,28-111,,21,1819.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.1,0.6,33.0,77.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,Aston Villa,2024,21.0
8,Matty Cash,pl POL,DF,27-273,,21,1800.0,20.0,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.3,0.3,1.1,1.4,46.0,39.0,75.0,0.05,0.05,0.1,0.05,0.1,0.02,0.05,0.07,0.02,0.07,Matches,Aston Villa,2024,24.0
9,Jacob Ramsey,eng ENG,"FW,MF",23-344,,18,1516.0,16.8,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,1.5,1.5,2.3,3.7,57.0,67.0,105.0,0.06,0.18,0.24,0.06,0.24,0.09,0.13,0.22,0.09,0.22,Matches,Aston Villa,2024,27.0
10,Boubacar Kamara,fr FRA,MF,25-165,,17,1463.0,16.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.9,1.3,16.0,74.0,7.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.08,0.02,0.08,Matches,Aston Villa,2024,23.0
11,Amadou Onana,be BEL,MF,23-264,,17,1378.0,15.3,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,2.1,2.1,0.3,2.4,21.0,60.0,14.0,0.2,0.0,0.2,0.2,0.2,0.14,0.02,0.16,0.14,0.16,Matches,Aston Villa,2024,23.0
12,Leon Bailey,jm JAM,"FW,MF",27-271,,14,1138.0,12.6,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.7,1.7,1.5,3.3,57.0,35.0,121.0,0.08,0.16,0.24,0.08,0.24,0.14,0.12,0.26,0.14,0.26,Matches,Aston Villa,2024,23.0
13,Tyrone Mings,eng ENG,DF,32-055,,11,1051.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.2,1.0,6.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,Matches,Aston Villa,2024,13.0
14,Ian Maatsen,nl NED,DF,23-058,,8,957.0,10.6,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,2.7,3.5,27.0,40.0,91.0,0.09,0.19,0.28,0.09,0.28,0.07,0.25,0.33,0.07,0.33,Matches,Aston Villa,2024,26.0
15,Diego Carlos,br BRA,DF,32-053,,8,830.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.0,0.6,3.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,Aston Villa,2024,10.0
16,Marco Asensio,es ESP,"MF,FW",29-106,,6,540.0,6.0,3.0,1.0,4.0,3.0,0.0,2.0,1.0,0.0,4.2,2.6,0.8,3.4,16.0,34.0,26.0,0.5,0.17,0.67,0.5,0.67,0.7,0.14,0.84,0.43,0.57,Matches,Aston Villa,2024,10.0
17,Axel Disasi,fr FRA,DF,27-057,,5,490.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.4,0.5,10.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,Matches,Aston Villa,2024,7.0
18,Lamare Bogarde,nl NED,"DF,MF",21-122,,5,476.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.2,12.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,Aston Villa,2024,8.0
19,Andrés García,es ESP,"DF,MF",22-089,,5,318.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,26.0,15.0,28.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,Matches,Aston Villa,2024,7.0
20,Jáder Durán,co COL,FW,21-145,,4,638.0,7.1,7.0,0.0,7.0,7.0,0.0,0.0,3.0,1.0,4.9,4.9,0.2,5.1,7.0,13.0,44.0,0.99,0.0,0.99,0.99,0.99,0.69,0.03,0.71,0.69,0.71,Matches,Aston Villa,2024,20.0
