,Player,Nation,Pos,Age,90s,tackles_Tkl,tackles_TklW,tackles_Def 3rd,tackles_Mid 3rd,tackles_Att 3rd,challenges_Tkl,challenges_Att,challenges_Tkl%,challenges_Lost,blocks_Blocks,blocks_Sh,blocks_Pass,Int,Tkl+Int,Clr,Err,Matches,Team,Season
545,Juan Soriano,es ESP,GK,27-259,6.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0,Matches,Leganes,2024
546,Sébastien Haller,ci CIV,FW,30-321,4.5,2,0,1,0,1,1,2,50.0,1,1,0,1,0,2,7,0,Matches,Leganes,2024
547,Roberto López,es ESP,MF,25-015,4.4,8,6,4,4,0,5,15,33.3,10,5,0,5,1,9,7,2,Matches,Leganes,2024
548,Yan Diomandé,ci CIV,"FW,MF",18-176,2.6,2,1,1,0,1,1,7,14.3,6,6,0,6,3,5,2,0,Matches,Leganes,2024
549,Julián Chicco,ar ARG,"MF,DF",27-116,3.3,11,7,3,6,2,5,8,62.5,3,2,0,2,3,14,9,0,Matches,Leganes,2024
550,Aritz Arambarri,es ESP,DF,27-098,2.0,1,1,1,0,0,1,1,100.0,0,2,2,0,3,4,8,0,Matches,Leganes,2024
551,Duk,cv CPV,"MF,FW",25-082,1.6,6,3,1,3,2,2,4,50.0,2,3,0,3,0,6,2,0,Matches,Leganes,2024
552,Borna Barišić,hr CRO,DF,32-180,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Leganes,2024
553,Karl Jakob Hein,ee EST,GK,23-026,28.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,17,1,Matches,Valladolid,2024
554,Luis Pérez,es ESP,DF,30-094,26.9,38,27,23,10,5,24,40,60.0,16,26,9,17,28,66,76,0,Matches,Valladolid,2024
555,Javi Sánchez,es ESP,DF,28-056,22.5,26,16,19,6,1,17,26,65.4,9,39,28,11,22,48,111,3,Matches,Valladolid,2024
556,Raúl Moro,es ESP,"MF,FW",22-155,22.2,18,11,13,2,3,10,26,38.5,16,6,0,6,10,28,14,0,Matches,Valladolid,2024
557,Lucas Oliveira Rosa,br BRA,DF,25-036,21.0,53,33,40,11,2,35,51,68.6,16,24,9,15,28,81,69,2,Matches,Valladolid,2024
558,Stanko Jurić,hr CRO,MF,28-266,19.2,48,24,26,19,3,19,48,39.6,29,35,11,24,24,72,52,0,Matches,Valladolid,2024
559,Mario Martín,es ESP,MF,21-065,17.9,59,30,29,27,3,20,45,44.4,25,28,6,22,19,78,39,7,Matches,Valladolid,2024
560,Eray Cömert,ch SUI,"DF,MF",27-094,16.9,21,12,13,8,0,11,18,61.1,7,25,15,10,21,42,60,1,Matches,Valladolid,2024
561,Anuar,ma MAR,"MF,FW",30-114,16.6,34,23,20,9,5,13,26,50.0,13,22,7,15,15,49,19,1,Matches,Valladolid,2024
562,Mamadou Sylla,sn SEN,"FW,MF",31-050,16.5,6,3,2,2,2,2,8,25.0,6,6,0,6,3,9,12,1,Matches,Valladolid,2024
563,Selim Amallah,ma MAR,MF,28-175,14.0,27,15,9,17,1,9,17,52.9,8,20,1,19,14,41,4,1,Matches,Valladolid,2024
564,David Torres,es ESP,DF,22-065,15.4,13,8,12,1,0,7,11,63.6,4,19,17,2,10,23,74,0,Matches,Valladolid,2024
565,Kike Pérez,es ESP,MF,28-084,13.2,37,26,15,19,3,15,26,57.7,11,16,4,12,7,44,18,0,Matches,Valladolid,2024
566,Marcos André,br BRA,FW,28-201,13.1,10,6,3,5,2,5,13,38.5,8,18,2,16,3,13,10,0,Matches,Valladolid,2024
567,Iván Sánchez,es ESP,"MF,FW",32-228,14.0,34,19,17,9,8,11,26,42.3,15,18,3,15,13,47,10,0,Matches,Valladolid,2024
568,Juanmi Latasa,es ESP,FW,24-047,12.0,3,1,1,1,1,2,5,40.0,3,3,1,2,0,3,10,1,Matches,Valladolid,2024
569,Juma Bah,sl SLE,DF,19-028,9.6,10,7,7,3,0,3,5,60.0,2,15,8,7,12,22,60,0,Matches,Valladolid,2024
570,Antonio Candela,it ITA,DF,25-012,8.0,8,6,5,2,1,3,7,42.9,4,9,5,4,6,14,20,0,Matches,Valladolid,2024
571,Adam Aznou,ma MAR,DF,18-341,7.5,24,19,18,6,0,19,36,52.8,17,21,7,14,7,31,17,0,Matches,Valladolid,2024
572,Chuky san jose,es ESP,MF,21-010,7.2,8,2,3,3,2,2,9,22.2,7,4,1,3,0,8,2,0,Matches,Valladolid,2024
573,Darwin Machís,ve VEN,"MF,FW",32-091,6.9,5,4,3,2,0,3,9,33.3,6,3,0,3,5,10,13,0,Matches,Valladolid,2024
574,Tamás Nikitscher,hu HUN,MF,25-187,6.3,14,6,8,6,0,7,10,70.0,3,10,2,8,9,23,9,0,Matches,Valladolid,2024
575,Florian Grillitsch,at AUT,MF,29-275,5.3,8,6,5,3,0,5,13,38.5,8,10,1,9,4,12,5,1,Matches,Valladolid,2024
576,Joseph Aidoo,gh GHA,DF,29-222,6.0,5,5,3,2,0,2,3,66.7,1,6,3,3,4,9,22,1,Matches,Valladolid,2024
577,André Ferreira,pt POR,GK,28-345,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,2,Matches,Valladolid,2024
578,Cenk Özkacar,tr TUR,DF,24-215,4.9,5,3,4,1,0,2,6,33.3,4,6,4,2,11,16,39,1,Matches,Valladolid,2024
579,Amath,sn SEN,"FW,DF",28-297,3.9,2,0,2,0,0,1,7,14.3,6,7,1,6,2,4,6,0,Matches,Valladolid,2024
580,Enzo Boyomo,cm CMR,DF,23-214,3.0,6,2,4,2,0,3,3,100.0,0,4,3,1,1,7,7,0,Matches,Valladolid,2024
581,Víctor Meseguer,es ESP,MF,25-334,4.6,10,6,4,4,2,2,10,20.0,8,3,0,3,2,12,4,1,Matches,Valladolid,2024
582,Henrique,br BRA,DF,31-014,2.2,3,2,2,1,0,0,3,0.0,3,5,0,5,2,5,5,0,Matches,Valladolid,2024
583,Raúl Chasco,es ESP,DF,21-238,1.4,4,1,3,1,0,2,4,50.0,2,1,0,1,2,6,2,0,Matches,Valladolid,2024
584,Arnau Rafús,es ESP,GK,22-012,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Matches,Valladolid,2024
585,Mario Maroto,es ESP,MF,21-162,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,1,0,Matches,Valladolid,2024
586,Adrian Baquerin,es ESP,FW,18-066,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,Valladolid,2024
587,Kenedy,br BRA,"MF,FW",29-090,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches,Valladolid,2024
