,Player,Nation,Pos,Age,90s,tackles_Tkl,tackles_TklW,tackles_Def 3rd,tackles_Mid 3rd,tackles_Att 3rd,challenges_Tkl,challenges_Att,challenges_Tkl%,challenges_Lost,blocks_Blocks,blocks_Sh,blocks_Pass,Int,Tkl+Int,Clr,Err,Matches,Team,Season
156,Juan Foyth,ar ARG,DF,27-117,13.9,23,14,14,5,4,10,15,66.7,5,22,13,9,17,40,97,3,Matches,Villarreal,2024
157,Raúl Albiol,es ESP,DF,39-247,13.2,10,9,9,1,0,6,10,60.0,4,10,9,1,6,16,69,1,Matches,Villarreal,2024
158,Luiz Lúcio Reis Júnior,br BRA,GK,24-115,13.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,14,1,Matches,Villarreal,2024
159,Nicolas Pépé,ci CIV,"FW,MF",29-345,13.6,18,8,8,6,4,5,12,41.7,7,10,1,9,5,23,10,0,Matches,Villarreal,2024
160,Willy Kambwala,fr FRA,DF,20-257,10.4,13,8,10,2,1,6,7,85.7,1,7,5,2,8,21,44,1,Matches,Villarreal,2024
161,Eric Bailly,ci CIV,DF,31-027,6.9,12,4,6,6,0,3,4,75.0,1,12,6,6,6,18,29,0,Matches,Villarreal,2024
162,Ilias Akhomach,ma MAR,"MF,FW",21-023,6.5,12,7,4,4,4,6,12,50.0,6,8,0,8,3,15,13,0,Matches,Villarreal,2024
163,Gerard Moreno,es ESP,FW,33-032,7.2,7,4,3,2,2,3,11,27.3,8,0,0,0,2,9,6,0,Matches,Villarreal,2024
164,Denis Suárez,es ESP,MF,31-123,5.9,9,7,7,1,1,4,9,44.4,5,4,1,3,1,10,3,0,Matches,Villarreal,2024
165,Pau Navarro,es ESP,DF,20-014,7.2,19,14,11,6,2,16,28,57.1,12,11,5,6,3,22,30,0,Matches,Villarreal,2024
166,Tajon Buchanan,ca CAN,MF,26-090,3.3,7,4,5,2,0,5,8,62.5,3,4,0,4,1,8,1,0,Matches,Villarreal,2024
167,Arnaut Danjuma,nl NED,FW,28-098,2.2,2,1,0,1,1,0,1,0.0,1,1,0,1,0,2,0,0,Matches,Villarreal,2024
168,Alfonso Pedraza,es ESP,"DF,MF",29-030,3.1,3,2,2,0,1,2,4,50.0,2,2,1,1,4,7,9,0,Matches,Villarreal,2024
169,Juan Bernat,es ESP,"DF,MF",32-069,2.4,9,7,7,1,1,4,5,80.0,1,3,1,2,1,10,4,0,Matches,Villarreal,2024
170,Ramón Terrats,es ESP,"MF,FW",24-203,1.5,3,3,1,2,0,2,4,50.0,2,3,1,2,2,5,3,0,Matches,Villarreal,2024
171,Pau Cabanes,es ESP,"MF,FW",20-081,1.8,4,4,0,3,1,3,4,75.0,1,5,0,5,3,7,2,1,Matches,Villarreal,2024
172,Arnau Solà,es ESP,MF,22-035,0.1,0,0,0,0,0,0,2,0.0,2,1,1,0,0,0,0,0,Matches,Villarreal,2024
173,Thiago Ojeda,ar ARG,MF,22-117,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,Villarreal,2024
174,Karl Etta,cm CMR,MF,21-207,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Villarreal,2024
175,Vicente Guaita,es ESP,GK,38-119,30.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,20,1,Matches,Celta Vigo,2024
176,Óscar Mingueza,es ESP,"MF,DF",25-361,26.6,34,20,17,12,5,24,60,40.0,36,28,4,24,20,54,40,4,Matches,Celta Vigo,2024
177,Marcos Alonso,es ESP,DF,34-132,27.0,33,20,18,12,3,24,43,55.8,19,22,7,15,32,65,115,4,Matches,Celta Vigo,2024
