,Player,Nation,Pos,Age,90s,standard_Gls,standard_Sh,standard_SoT,standard_SoT%,standard_Sh/90,standard_SoT/90,standard_G/Sh,standard_G/SoT,standard_Dist,standard_FK,standard_PK,standard_PKatt,expected_xG,expected_npxG,expected_npxG/Sh,expected_G-xG,expected_np:G-xG,Matches,Team,Season
310,Arkaitz Mariezkurrena,es ESP,"MF,FW",20-034,1.2,1,5,2,40.0,4.02,1.61,0.2,0.5,17.8,0,0,0,0.5,0.5,0.11,0.5,0.5,Matches,Real Sociedad,2024
311,Álvaro Odriozola,es ESP,DF,29-146,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Real Sociedad,2024
312,Daniel Díaz,es ESP,MF,18-321,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Real Sociedad,2024
313,Luken Beitia,es ESP,DF,20-313,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Real Sociedad,2024
314,Jon Magunazelaia,es ESP,MF,24-300,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Real Sociedad,2024
315,Cristhian Mosquera,es ESP,DF,20-316,32.9,1,5,2,40.0,0.15,0.06,0.2,0.5,10.5,0,0,0,0.4,0.4,0.08,0.6,0.6,Matches,Valencia,2024
316,Diego López,es ESP,"MF,FW",22-361,27.7,7,40,13,32.5,1.44,0.47,0.18,0.54,15.2,0,0,0,6.2,6.2,0.15,0.8,0.8,Matches,Valencia,2024
317,Giorgi Mamardashvili,ge GEO,GK,24-222,30.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Valencia,2024
318,César Tárrega,es ESP,DF,23-072,29.6,2,17,5,29.4,0.57,0.17,0.12,0.4,10.1,0,0,0,1.8,1.8,0.11,0.2,0.2,Matches,Valencia,2024
319,Luis Rioja,es ESP,"MF,FW",31-205,28.6,5,26,10,38.5,0.91,0.35,0.12,0.3,21.3,1,2,2,3.2,1.6,0.06,1.8,1.4,Matches,Valencia,2024
