,Player,Nation,Pos,Age,MP,playing_time_Min,playing_time_Mn/MP,playing_time_Min%,playing_time_90s,starts_Starts,starts_Mn/Start,starts_Compl,subs_Subs,subs_Mn/Sub,subs_unSub,team_success_PPM,team_success_onG,team_success_onGA,team_success_+/-,team_success_+/-90,team_success_On-Off,team_success_(xg)_onxG,team_success_(xg)_onxGA,team_success_(xg)_xG+/-,team_success_(xg)_xG+/-90,team_success_(xg)_On-Off,Matches,Team,Season,playing_time_MP
503,Miguel Gutiérrez,es ESP,"DF,MF",23-286,29.0,2458.0,85.0,80.3,27.3,29,85.0,22,0,,1,1.21,35.0,41.0,-6.0,-0.22,0.53,31.4,31.6,-0.2,-0.01,0.59,Matches,Girona,2024,
504,Daley Blind,nl NED,DF,35-061,30.0,2420.0,81.0,79.1,26.9,27,86.0,25,3,29.0,1,1.07,35.0,38.0,-3.0,-0.11,1.01,31.7,28.2,3.5,0.13,1.22,Matches,Girona,2024,
505,Arnau Martinez,es ESP,"DF,MF",22-014,28.0,2309.0,82.0,75.5,25.7,26,89.0,21,2,4.0,5,1.21,30.0,37.0,-7.0,-0.27,0.21,28.3,32.2,-3.8,-0.15,-0.1,Matches,Girona,2024,
506,David López,es ESP,DF,35-212,27.0,2250.0,83.0,73.5,25.0,25,88.0,22,2,30.0,7,1.22,33.0,36.0,-3.0,-0.12,0.77,30.1,30.9,-0.8,-0.03,0.35,Matches,Girona,2024,
507,Ladislav Krejčí,cz CZE,DF,26-019,25.0,2170.0,87.0,70.9,24.1,24,90.0,24,1,10.0,6,1.0,26.0,37.0,-11.0,-0.46,-0.46,25.1,32.4,-7.4,-0.31,-0.62,Matches,Girona,2024,
508,Yangel Herrera,ve VEN,MF,27-115,26.0,2010.0,77.0,65.7,22.3,24,82.0,15,2,19.0,1,1.31,24.0,31.0,-7.0,-0.31,0.03,22.7,27.9,-5.2,-0.23,-0.32,Matches,Girona,2024,
509,Iván Martín,es ESP,MF,26-084,28.0,1836.0,66.0,60.0,20.4,22,77.0,10,6,26.0,1,1.14,20.0,29.0,-9.0,-0.44,-0.29,22.8,26.0,-3.3,-0.16,-0.09,Matches,Girona,2024,
510,Bryan Gil,es ESP,"FW,MF",24-087,25.0,1721.0,69.0,56.2,19.1,21,78.0,4,4,22.0,0,1.32,29.0,31.0,-2.0,-0.1,0.5,23.5,24.1,-0.6,-0.03,0.21,Matches,Girona,2024,
511,Viktor Tsyhankov,ua UKR,"FW,MF",27-175,23.0,1582.0,69.0,51.7,17.6,19,79.0,8,4,22.0,1,1.04,17.0,28.0,-11.0,-0.63,-0.63,18.8,22.5,-3.8,-0.22,-0.19,Matches,Girona,2024,
512,Donny van de Beek,nl NED,MF,28-021,26.0,1421.0,55.0,46.4,15.8,16,74.0,4,10,25.0,6,1.12,25.0,23.0,2.0,0.13,0.84,20.1,21.5,-1.4,-0.09,0.07,Matches,Girona,2024,
513,Oriol Romeu,es ESP,MF,33-227,22.0,1244.0,57.0,40.7,13.8,16,69.0,5,6,24.0,4,1.23,17.0,23.0,-6.0,-0.43,-0.19,14.6,16.3,-1.8,-0.13,-0.01,Matches,Girona,2024,
514,Abel Ruiz,es ESP,FW,25-101,19.0,1226.0,65.0,40.1,13.6,16,70.0,1,3,35.0,4,1.16,14.0,17.0,-3.0,-0.22,0.17,14.4,16.8,-2.5,-0.18,-0.09,Matches,Girona,2024,
515,Arnaut Danjuma,nl NED,"FW,MF",28-098,23.0,1310.0,57.0,42.8,14.6,15,72.0,5,8,28.0,3,0.91,10.0,25.0,-15.0,-1.03,-1.24,13.5,20.7,-7.2,-0.49,-0.64,Matches,Girona,2024,
516,Yaser Asprilla,co COL,"FW,MF",21-171,23.0,1130.0,49.0,36.9,12.6,12,74.0,4,11,22.0,3,1.04,16.0,20.0,-4.0,-0.32,0.01,16.9,15.9,1.0,0.08,0.32,Matches,Girona,2024,
517,Bojan Miovski,mk MKD,FW,25-319,16.0,851.0,53.0,27.8,9.5,12,67.0,1,4,13.0,11,1.19,11.0,17.0,-6.0,-0.63,-0.43,8.7,11.2,-2.5,-0.27,-0.2,Matches,Girona,2024,
518,Alejandro Francés,es ESP,DF,22-281,14.0,957.0,68.0,31.3,10.6,11,81.0,6,3,22.0,18,0.93,10.0,22.0,-12.0,-1.13,-1.17,10.7,16.0,-5.3,-0.5,-0.54,Matches,Girona,2024,
519,Arthur Melo,br BRA,MF,28-270,11.0,659.0,60.0,21.5,7.3,7,77.0,3,4,29.0,0,0.64,6.0,10.0,-4.0,-0.55,-0.28,6.3,8.7,-2.4,-0.33,-0.26,Matches,Girona,2024,
520,Juanpe,es ESP,DF,34-009,10.0,610.0,61.0,19.9,6.8,7,85.0,6,3,5.0,24,1.4,10.0,14.0,-4.0,-0.59,-0.33,7.1,10.5,-3.3,-0.49,-0.45,Matches,Girona,2024,
521,Cristhian Stuani,uy URU,FW,38-209,28.0,830.0,30.0,27.1,9.2,3,81.0,0,25,23.0,6,1.21,19.0,11.0,8.0,0.87,1.63,15.0,10.1,4.9,0.53,0.9,Matches,Girona,2024,
