,Player,Nation,Pos,Age,MP,playing_time_Min,playing_time_Mn/MP,playing_time_Min%,playing_time_90s,starts_Starts,starts_Mn/Start,starts_Compl,subs_Subs,subs_Mn/Sub,subs_unSub,team_success_PPM,team_success_onG,team_success_onGA,team_success_+/-,team_success_+/-90,team_success_On-Off,team_success_(xg)_onxG,team_success_(xg)_onxGA,team_success_(xg)_xG+/-,team_success_(xg)_xG+/-90,team_success_(xg)_On-Off,Matches,Team,Season,playing_time_MP
0,Pedri,es ESP,MF,22-165,33.0,2574.0,78.0,84.1,28.6,31,82.0,13,2,21.0,0,2.3,67.0,26.0,41.0,1.43,-1.71,62.1,28.7,33.4,1.17,-1.33,Matches,Barcelona,2024,
1,Jules Koundé,fr FRA,DF,26-178,32.0,2605.0,81.0,85.1,28.9,29,88.0,25,3,21.0,1,2.28,77.0,30.0,47.0,1.62,-0.55,68.6,31.3,37.3,1.29,-0.62,Matches,Barcelona,2024,
2,Robert Lewandowski,pl POL,FW,36-261,31.0,2442.0,79.0,79.8,27.1,29,82.0,15,2,27.0,1,2.26,68.0,25.0,43.0,1.58,-0.6,59.0,27.7,31.3,1.15,-1.12,Matches,Barcelona,2024,
3,Raphinha,br BRA,"FW,MF",28-146,32.0,2506.0,78.0,81.9,27.8,28,85.0,20,4,35.0,1,2.28,75.0,25.0,50.0,1.8,0.5,66.6,29.3,37.3,1.34,-0.22,Matches,Barcelona,2024,
4,Lamine Yamal,es ESP,FW,17-300,31.0,2496.0,81.0,81.6,27.7,27,86.0,16,4,41.0,0,2.52,81.0,22.0,59.0,2.13,2.29,70.9,24.2,46.7,1.68,1.64,Matches,Barcelona,2024,
5,Pau Cubarsí,es ESP,DF,18-107,31.0,2342.0,76.0,76.5,26.0,26,85.0,18,5,28.0,3,2.26,70.0,27.0,43.0,1.65,-0.23,59.1,28.0,31.1,1.19,-0.79,Matches,Barcelona,2024,
6,Iñigo Martínez,es ESP,DF,33-357,26.0,2310.0,89.0,75.5,25.7,26,89.0,23,0,,5,2.38,69.0,25.0,44.0,1.71,0.03,64.6,28.3,36.4,1.42,0.15,Matches,Barcelona,2024,
7,Alejandro Balde,es ESP,DF,21-203,28.0,2080.0,74.0,68.0,23.1,25,81.0,13,3,19.0,3,2.25,62.0,19.0,43.0,1.86,0.48,56.5,22.5,34.0,1.47,0.29,Matches,Barcelona,2024,
8,Marc Casado,es ESP,MF,21-237,23.0,1611.0,70.0,52.6,17.9,20,78.0,10,3,19.0,3,2.22,49.0,14.0,35.0,1.96,0.53,43.9,19.2,24.7,1.38,0.0,Matches,Barcelona,2024,
9,Iñaki Peña,es ESP,GK,26-068,15.0,1306.0,87.0,42.7,14.5,14,90.0,14,1,46.0,19,1.6,33.0,18.0,15.0,1.03,-1.17,34.9,19.1,15.8,1.09,-0.51,Matches,Barcelona,2024,
10,Wojciech Szczęsny,pl POL,GK,35-021,13.0,1170.0,90.0,38.2,13.0,13,90.0,13,0,,12,2.85,37.0,9.0,28.0,2.15,0.73,30.0,9.5,20.5,1.58,0.32,Matches,Barcelona,2024,
11,Gavi,es ESP,"MF,FW",20-277,22.0,895.0,41.0,29.2,9.9,12,66.0,3,10,11.0,3,2.09,20.0,9.0,11.0,1.11,-0.85,23.6,7.5,16.1,1.62,0.34,Matches,Barcelona,2024,
12,Dani Olmo,es ESP,"MF,FW",27-002,21.0,1027.0,49.0,33.6,11.4,11,64.0,0,10,32.0,2,2.29,34.0,7.0,27.0,2.37,0.99,31.5,12.5,19.0,1.66,0.43,Matches,Barcelona,2024,
13,Ferrán Torres,es ESP,"FW,MF",25-069,26.0,1018.0,39.0,33.3,11.3,11,62.0,2,15,22.0,2,2.31,31.0,18.0,13.0,1.15,-0.83,27.2,13.6,13.7,1.21,-0.26,Matches,Barcelona,2024,
14,Eric García,es ESP,"MF,DF",24-120,25.0,1236.0,49.0,40.4,13.7,10,86.0,7,15,25.0,3,2.56,42.0,11.0,31.0,2.26,0.93,37.3,12.5,24.8,1.81,0.71,Matches,Barcelona,2024,
15,Fermin López,es ESP,"MF,FW",21-363,24.0,1032.0,43.0,33.7,11.5,10,65.0,2,14,28.0,3,2.33,25.0,12.0,13.0,1.13,-0.86,24.3,10.6,13.7,1.2,-0.28,Matches,Barcelona,2024,
16,Ronald Araújo,uy URU,DF,26-063,10.0,641.0,64.0,20.9,7.1,9,71.0,5,1,5.0,7,2.6,16.0,5.0,11.0,1.54,-0.2,14.7,3.7,11.0,1.55,0.21,Matches,Barcelona,2024,
17,Gerard Martín,es ESP,DF,23-128,24.0,882.0,37.0,28.8,9.8,8,78.0,4,16,16.0,10,2.58,30.0,12.0,18.0,1.84,0.18,23.0,10.5,12.5,1.28,-0.15,Matches,Barcelona,2024,
18,Frenkie de Jong,nl NED,MF,27-362,22.0,908.0,41.0,29.7,10.1,7,67.0,1,15,29.0,3,2.36,35.0,13.0,22.0,2.18,0.68,28.4,11.9,16.5,1.63,0.36,Matches,Barcelona,2024,
19,Marc-André ter Stegen,de GER,GK,33-009,7.0,584.0,83.0,19.1,6.5,7,83.0,6,0,,0,3.0,21.0,6.0,15.0,2.31,0.75,16.9,6.3,10.6,1.64,0.32,Matches,Barcelona,2024,
20,Héctor Fort,es ESP,DF,18-280,14.0,541.0,39.0,17.7,6.0,5,75.0,1,9,19.0,18,2.29,16.0,8.0,8.0,1.33,-0.46,15.4,6.6,8.8,1.46,0.1,Matches,Barcelona,2024,
21,Pablo Torre,es ESP,"MF,FW",22-036,10.0,310.0,31.0,10.1,3.4,4,56.0,0,6,15.0,23,2.2,9.0,4.0,5.0,1.45,-0.28,7.0,5.0,2.0,0.57,-0.9,Matches,Barcelona,2024,
22,Marc Bernal,es ESP,MF,17-348,3.0,242.0,81.0,7.9,2.7,3,81.0,1,0,,0,3.0,6.0,3.0,3.0,1.12,-0.64,6.0,2.3,3.7,1.39,0.01,Matches,Barcelona,2024,
23,Ansu Fati,es ESP,FW,22-190,6.0,233.0,39.0,7.6,2.6,3,60.0,0,3,17.0,13,2.5,4.0,1.0,3.0,1.16,-0.59,6.8,1.5,5.3,2.05,0.72,Matches,Barcelona,2024,
24,Pau Victor Delgado,es ESP,FW,23-164,19.0,300.0,16.0,9.8,3.3,2,60.0,0,17,11.0,15,2.16,13.0,6.0,7.0,2.1,0.44,12.5,4.5,8.0,2.4,1.13,Matches,Barcelona,2024,
25,Sergi Dominguez,es ESP,DF,20-038,3.0,172.0,57.0,5.6,1.9,2,71.0,0,1,30.0,15,2.0,8.0,4.0,4.0,2.09,0.41,4.3,4.3,0.0,0.01,-1.45,Matches,Barcelona,2024,
26,Andreas Christensen,dk DEN,DF,29-029,2.0,117.0,59.0,3.8,1.3,1,90.0,1,1,27.0,6,3.0,2.0,1.0,1.0,0.77,-0.97,2.4,0.6,1.8,1.37,-0.01,Matches,Barcelona,2024,
27,Daniel Rodriguez,es ESP,FW,19-273,1.0,37.0,37.0,1.2,0.4,1,37.0,0,0,,0,3.0,0.0,1.0,-1.0,-2.43,-4.19,0.6,0.3,0.3,0.68,-0.71,Matches,Barcelona,2024,
28,Ander Astralaga,es ESP,GK,21-067,0.0,,,,,0,,0,0,,16,,,,,,,,,,,,Matches,Barcelona,2024,
29,Álvaro Cortés,es ESP,DF,19-357,0.0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Barcelona,2024,
30,Andres Cuenca,es ESP,DF,17-332,0.0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches,Barcelona,2024,
31,Noah Darvich,de GER,MF,18-226,0.0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,Barcelona,2024,
32,Landry Farré,es ESP,DF,18-128,0.0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Barcelona,2024,
33,Guillermo Fernandez,es ESP,MF,16-325,0.0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches,Barcelona,2024,
34,Toni Fernández,es ESP,MF,16-328,0.0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,Barcelona,2024,
35,Diego Kochen,us USA,GK,19-051,0.0,,,,,0,,0,0,,17,,,,,,,,,,,,Matches,Barcelona,2024,
36,Alexis Olmedo,es ESP,DF,19-128,0.0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Barcelona,2024,
37,Álex Valle,es ESP,DF,21-014,0.0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,Barcelona,2024,
38,Áron Yaakobishvili,hu HUN,GK,19-064,0.0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,Barcelona,2024,
39,Federico Valverde,uy URU,"MF,DF",26-291,,2672.0,84.0,87.3,29.7,30,88.0,24,2,21.0,1,2.25,61.0,26.0,35.0,1.18,0.95,58.2,29.3,28.9,0.97,1.02,Matches,Real Madrid,2024,32.0
40,Kylian Mbappé,fr FRA,FW,26-140,,2547.0,85.0,83.2,28.3,30,85.0,18,0,,0,2.23,59.0,27.0,32.0,1.13,0.43,59.1,29.1,30.0,1.06,1.29,Matches,Real Madrid,2024,30.0
41,Thibaut Courtois,be BEL,GK,32-363,,2520.0,90.0,82.4,28.0,28,90.0,28,0,,0,2.25,57.0,24.0,33.0,1.18,0.68,52.5,28.9,23.7,0.84,0.01,Matches,Real Madrid,2024,28.0
42,Aurélien Tchouaméni,fr FRA,"DF,MF",25-102,,2454.0,85.0,80.2,27.3,28,87.0,25,1,10.0,0,2.07,50.0,27.0,23.0,0.84,-1.09,44.2,29.0,15.1,0.56,-1.45,Matches,Real Madrid,2024,29.0
43,Antonio Rüdiger,de GER,DF,32-067,,2291.0,79.0,74.9,25.5,26,87.0,24,3,14.0,1,2.21,54.0,25.0,29.0,1.14,0.32,48.1,26.5,21.6,0.85,0.02,Matches,Real Madrid,2024,29.0
44,Jude Bellingham,eng ENG,MF,21-314,,2218.0,79.0,72.5,24.6,26,83.0,16,2,28.0,0,2.21,54.0,28.0,26.0,1.06,-0.01,47.1,27.7,19.4,0.79,-0.2,Matches,Real Madrid,2024,28.0
45,Vinicius Júnior,br BRA,FW,24-301,,2130.0,76.0,69.6,23.7,23,86.0,12,5,30.0,0,2.14,40.0,20.0,20.0,0.85,-0.7,41.3,23.3,18.0,0.76,-0.27,Matches,Real Madrid,2024,28.0
46,Lucas Vázquez,es ESP,DF,33-312,,2016.0,70.0,65.9,22.4,23,85.0,14,6,11.0,3,2.14,47.0,29.0,18.0,0.8,-0.75,44.4,29.5,15.0,0.67,-0.51,Matches,Real Madrid,2024,29.0
47,Rodrygo,br BRA,"FW,MF",24-120,,1928.0,64.0,63.0,21.4,22,76.0,5,8,33.0,0,2.2,42.0,17.0,25.0,1.17,0.29,39.6,22.2,17.5,0.82,-0.08,Matches,Real Madrid,2024,30.0
48,Fran Garcia,es ESP,DF,25-268,,1825.0,68.0,59.6,20.3,20,87.0,16,7,13.0,7,2.07,46.0,18.0,28.0,1.38,0.8,45.3,21.3,24.1,1.19,0.85,Matches,Real Madrid,2024,27.0
49,Raúl Asencio,es ESP,DF,22-085,,1427.0,71.0,46.6,15.9,15,84.0,11,5,32.0,3,2.5,32.0,11.0,21.0,1.32,0.5,33.7,15.5,18.2,1.15,0.57,Matches,Real Madrid,2024,20.0
50,Brahim Díaz,ma MAR,"FW,MF",25-279,,1286.0,44.0,42.0,14.3,15,69.0,5,14,18.0,0,2.14,41.0,16.0,25.0,1.75,1.19,33.6,16.6,16.9,1.19,0.59,Matches,Real Madrid,2024,29.0
51,Luka Modrić,hr CRO,MF,39-242,,1516.0,49.0,49.5,16.8,14,83.0,6,17,21.0,2,2.13,35.0,20.0,15.0,0.89,-0.33,34.1,19.7,14.4,0.85,0.02,Matches,Real Madrid,2024,31.0
52,Ferland Mendy,fr FRA,DF,29-335,,1005.0,72.0,32.8,11.2,12,80.0,5,2,21.0,11,1.93,16.0,13.0,3.0,0.27,-1.18,14.8,14.3,0.6,0.05,-1.18,Matches,Real Madrid,2024,14.0
53,Dani Ceballos,es ESP,MF,28-275,,976.0,51.0,31.9,10.8,12,74.0,2,7,13.0,6,2.47,23.0,6.0,17.0,1.57,0.75,23.3,10.7,12.6,1.16,0.46,Matches,Real Madrid,2024,19.0
54,Eduardo Camavinga,fr FRA,"MF,DF",22-180,,1102.0,58.0,36.0,12.2,11,84.0,8,8,22.0,1,2.21,24.0,10.0,14.0,1.14,0.13,21.0,12.6,8.3,0.68,-0.25,Matches,Real Madrid,2024,19.0
55,Éder Militão,br BRA,DF,27-111,,938.0,78.0,30.7,10.4,11,83.0,9,1,20.0,0,2.25,20.0,9.0,11.0,1.06,0.0,18.6,11.0,7.6,0.73,-0.16,Matches,Real Madrid,2024,12.0
56,Arda Güler,tr TUR,"MF,FW",20-073,,949.0,40.0,31.0,10.5,10,72.0,0,14,16.0,10,2.38,21.0,12.0,9.0,0.85,-0.3,20.6,11.9,8.7,0.82,-0.03,Matches,Real Madrid,2024,24.0
57,Dani Carvajal,es ESP,DF,33-118,,609.0,76.0,19.9,6.8,7,85.0,5,1,15.0,0,2.25,12.0,3.0,9.0,1.33,0.34,11.3,5.3,5.9,0.88,0.04,Matches,Real Madrid,2024,8.0
58,Andriy Lunin,ua UKR,GK,26-087,,450.0,90.0,14.7,5.0,5,90.0,5,0,,28,2.4,11.0,7.0,4.0,0.8,-0.3,9.4,7.1,2.4,0.47,-0.44,Matches,Real Madrid,2024,5.0
59,David Alaba,at AUT,DF,32-319,,317.0,45.0,10.4,3.5,4,66.0,1,3,17.0,5,2.14,6.0,4.0,2.0,0.57,-0.55,7.1,4.2,2.9,0.82,-0.02,Matches,Real Madrid,2024,7.0
60,Endrick,br BRA,FW,18-292,,226.0,12.0,7.4,2.5,1,63.0,0,18,9.0,15,2.21,5.0,4.0,1.0,0.4,-0.71,5.5,2.7,2.8,1.1,0.28,Matches,Real Madrid,2024,19.0
61,Fran,es ESP,GK,19-319,,90.0,90.0,2.9,1.0,1,90.0,1,0,,22,0.0,1.0,2.0,-1.0,-1.0,-2.12,3.4,0.8,2.7,2.66,1.88,Matches,Real Madrid,2024,1.0
62,Jacobo Ramón,es ESP,DF,20-123,,24.0,24.0,0.8,0.3,0,,0,1,24.0,11,3.0,0.0,2.0,-2.0,-7.5,-8.63,0.5,1.4,-0.9,-3.32,-4.2,Matches,Real Madrid,2024,1.0
63,Jesús Vallejo,es ESP,DF,28-124,,11.0,11.0,0.4,0.1,0,,0,1,11.0,26,3.0,0.0,2.0,-2.0,-16.36,-17.49,0.1,0.4,-0.4,-3.03,-3.89,Matches,Real Madrid,2024,1.0
64,Chema,es ESP,MF,20-014,,8.0,8.0,0.3,0.1,0,,0,1,8.0,3,3.0,0.0,0.0,0.0,0.0,-1.06,0.2,0.0,0.2,1.8,0.96,Matches,Real Madrid,2024,1.0
65,Lorenzo Aguado,es ESP,DF,22-232,,5.0,3.0,0.2,0.1,0,,0,2,3.0,6,3.0,0.0,0.0,0.0,0.0,-1.06,0.2,0.0,0.2,3.53,2.69,Matches,Real Madrid,2024,2.0
66,Daniel Yáñez,es ESP,FW,18-042,,2.0,2.0,0.1,0.0,0,,0,1,2.0,0,3.0,0.0,0.0,0.0,0.0,-1.06,0.0,0.0,0.0,0.0,-0.84,Matches,Real Madrid,2024,1.0
67,Diego Aguado,es ESP,DF,18-091,,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,Real Madrid,2024,0.0
68,Gonzalo García,es ESP,MF,21-046,,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,Real Madrid,2024,0.0
69,David Jiménez,es ESP,DF,21-056,,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Real Madrid,2024,0.0
70,Youssef Lekhedim,es ESP,DF,19-214,,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,Real Madrid,2024,0.0
71,Sergio Mestre,es ESP,GK,20-085,,,,,,0,,0,0,,18,,,,,,,,,,,,Matches,Real Madrid,2024,0.0
72,Víctor Muñoz,es ESP,FW,21-300,,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Real Madrid,2024,0.0
73,Victor Valdepeñas,es ESP,DF,18-201,,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Real Madrid,2024,0.0
74,Jan Oblak,si SVN,GK,32-122,,2970.0,90.0,97.1,33.0,33,90.0,33,0,,0,1.94,55.0,27.0,28.0,0.85,-0.15,52.7,31.0,21.7,0.66,-0.78,Matches,Atletico Madrid,2024,33.0
75,Antoine Griezmann,fr FRA,"FW,MF",34-049,,2336.0,69.0,76.3,26.0,28,76.0,9,6,35.0,0,1.97,38.0,20.0,18.0,0.69,-0.67,38.4,21.8,16.6,0.64,-0.17,Matches,Atletico Madrid,2024,34.0
76,Julián Álvarez,ar ARG,FW,25-098,,2268.0,67.0,74.1,25.2,27,76.0,11,7,29.0,0,1.97,40.0,15.0,25.0,0.99,0.54,37.8,24.1,13.7,0.54,-0.52,Matches,Atletico Madrid,2024,34.0
77,Pablo Barrios,es ESP,MF,21-328,,2212.0,79.0,72.3,24.6,26,82.0,19,2,45.0,0,2.0,44.0,23.0,21.0,0.85,0.01,41.8,20.9,20.8,0.85,0.6,Matches,Atletico Madrid,2024,28.0
78,Marcos Llorente,es ESP,"DF,MF",30-099,,2153.0,74.0,70.4,23.9,24,84.0,18,5,29.0,0,1.97,41.0,22.0,19.0,0.79,-0.2,36.6,22.2,14.5,0.61,-0.25,Matches,Atletico Madrid,2024,29.0
79,Giuliano Simeone,ar ARG,MF,22-142,,1706.0,59.0,55.8,19.0,23,69.0,3,6,21.0,5,2.07,33.0,16.0,17.0,0.9,0.1,32.8,15.5,17.3,0.92,0.53,Matches,Atletico Madrid,2024,29.0
80,Robin Le Normand,es ESP,DF,28-179,,1881.0,78.0,61.5,20.9,21,87.0,20,3,18.0,2,1.92,31.0,14.0,17.0,0.81,-0.1,33.4,19.0,14.3,0.69,0.01,Matches,Atletico Madrid,2024,24.0
81,Clément Lenglet,fr FRA,DF,29-326,,1792.0,85.0,58.6,19.9,21,85.0,17,0,,8,2.33,34.0,17.0,17.0,0.85,0.0,33.8,16.4,17.5,0.88,0.48,Matches,Atletico Madrid,2024,21.0
82,Rodrigo De Paul,ar ARG,MF,30-350,,1797.0,60.0,58.7,20.0,19,76.0,7,11,33.0,0,1.9,34.0,14.0,20.0,1.0,0.36,35.5,18.9,16.6,0.83,0.36,Matches,Atletico Madrid,2024,30.0
83,Conor Gallagher,eng ENG,MF,25-092,,1550.0,55.0,50.7,17.2,19,68.0,4,9,28.0,5,1.96,29.0,18.0,11.0,0.64,-0.43,24.2,17.6,6.7,0.39,-0.6,Matches,Atletico Madrid,2024,28.0
84,José María Giménez,uy URU,DF,30-109,,1819.0,73.0,59.4,20.2,18,88.0,17,7,34.0,5,1.92,37.0,18.0,19.0,0.94,0.21,29.4,17.3,12.1,0.6,-0.21,Matches,Atletico Madrid,2024,25.0
85,Javi Galán,es ESP,DF,30-171,,1559.0,71.0,50.9,17.3,18,78.0,9,4,38.0,10,2.0,30.0,12.0,18.0,1.04,0.38,30.7,14.3,16.4,0.94,0.54,Matches,Atletico Madrid,2024,22.0
86,Samuel Lino,br BRA,"MF,DF",25-137,,1292.0,48.0,42.2,14.4,18,56.0,1,9,32.0,5,1.89,22.0,8.0,14.0,0.98,0.21,26.2,11.9,14.3,1.0,0.55,Matches,Atletico Madrid,2024,27.0
87,Koke,es ESP,MF,33-121,,1614.0,58.0,52.7,17.9,16,76.0,7,12,33.0,1,2.04,23.0,12.0,11.0,0.61,-0.51,24.6,17.4,7.2,0.4,-0.6,Matches,Atletico Madrid,2024,28.0
88,Nahuel Molina,ar ARG,DF,27-033,,1443.0,56.0,47.2,16.0,16,75.0,9,10,25.0,6,1.85,18.0,10.0,8.0,0.5,-0.67,20.7,17.1,3.7,0.23,-0.85,Matches,Atletico Madrid,2024,26.0
89,Alexander Sørloth,no NOR,FW,29-155,,1329.0,43.0,43.4,14.8,12,68.0,2,19,27.0,2,2.03,30.0,11.0,19.0,1.29,0.77,28.0,12.7,15.2,1.03,0.62,Matches,Atletico Madrid,2024,31.0
90,Reinildo Mandava,mz MOZ,DF,31-108,,941.0,50.0,30.8,10.5,10,76.0,6,9,20.0,15,1.74,15.0,12.0,3.0,0.29,-0.82,11.8,12.4,-0.7,-0.07,-1.08,Matches,Atletico Madrid,2024,19.0
91,César Azpilicueta,es ESP,DF,35-254,,740.0,62.0,24.2,8.2,9,73.0,4,3,27.0,14,1.85,14.0,7.0,7.0,0.85,0.0,13.3,7.8,5.5,0.67,-0.01,Matches,Atletico Madrid,2024,12.0
92,Axel Witsel,be BEL,DF,36-117,,761.0,63.0,24.9,8.5,8,84.0,7,4,22.0,22,1.92,14.0,8.0,6.0,0.71,-0.19,13.7,11.4,2.3,0.27,-0.55,Matches,Atletico Madrid,2024,12.0
93,Rodrigo Riquelme,es ESP,"MF,DF",25-037,,516.0,32.0,16.9,5.7,4,72.0,1,12,19.0,16,2.13,13.0,5.0,8.0,1.4,0.65,12.2,3.8,8.3,1.45,0.93,Matches,Atletico Madrid,2024,16.0
94,Ángel Correa,ar ARG,"FW,MF",30-061,,729.0,27.0,23.8,8.1,3,57.0,0,24,23.0,3,1.96,17.0,4.0,13.0,1.6,0.99,15.4,5.9,9.5,1.18,0.65,Matches,Atletico Madrid,2024,27.0
95,Juan Musso,ar ARG,GK,31-003,,90.0,90.0,2.9,1.0,1,90.0,1,0,,31,3.0,1.0,0.0,1.0,1.0,0.15,1.7,0.3,1.4,1.44,0.78,Matches,Atletico Madrid,2024,1.0
96,Thomas Lemar,fr FRA,MF,29-178,,62.0,16.0,2.0,0.7,0,,0,4,16.0,18,1.5,3.0,2.0,1.0,1.45,0.61,1.8,1.5,0.3,0.5,-0.19,Matches,Atletico Madrid,2024,4.0
97,Adrian Niño,es ESP,FW,20-324,,12.0,12.0,0.4,0.1,0,,0,1,12.0,0,0.0,0.0,0.0,0.0,0.0,-0.86,1.3,0.0,1.3,10.1,9.46,Matches,Atletico Madrid,2024,1.0
98,Rayane Belaid,es ESP,DF,20-087,,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,Atletico Madrid,2024,0.0
99,Aitor Gismera,es ESP,MF,21-077,,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Atletico Madrid,2024,0.0
100,Antonio Gomis,es ESP,GK,21-354,,,,,,0,,0,0,,28,,,,,,,,,,,,Matches,Atletico Madrid,2024,0.0
101,Alejandro Iturbe,es ESP,GK,21-249,,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Atletico Madrid,2024,0.0
102,Omar Janneh,es ESP,FW,18-259,,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Atletico Madrid,2024,0.0
103,Ilias Kostis,gr GRE,DF,22-071,,,,,,0,,0,0,,7,,,,,,,,,,,,Matches,Atletico Madrid,2024,0.0
104,Horaţiu Moldovan,ro ROU,GK,27-109,,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Atletico Madrid,2024,0.0
105,Javier Serrano,es ESP,MF,22-113,,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,Atletico Madrid,2024,0.0
106,Gerónimo Spina,ar ARG,DF,20-089,,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Atletico Madrid,2024,0.0
107,Arthur Vermeeren,be BEL,MF,20-091,,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Atletico Madrid,2024,0.0
108,Iñaki Williams,gh GHA,FW,30-328,,2614.0,79.0,85.4,29.0,29,86.0,21,4,33.0,0,1.82,46.0,22.0,24.0,0.83,0.83,44.4,27.7,16.7,0.58,0.89,Matches,Athletic Club,2024,33.0
109,Daniel Vivian,es ESP,DF,25-298,,2309.0,82.0,75.5,25.7,25,90.0,25,3,20.0,3,1.82,43.0,21.0,22.0,0.86,0.62,41.1,27.1,14.0,0.54,0.4,Matches,Athletic Club,2024,28.0
110,Álex Berenguer,es ESP,"FW,MF",29-309,,2070.0,63.0,67.6,23.0,25,75.0,4,8,26.0,1,1.76,33.0,15.0,18.0,0.78,0.24,33.4,22.3,11.1,0.48,0.11,Matches,Athletic Club,2024,33.0
111,Mikel Jauregizar,es ESP,MF,21-178,,1963.0,65.0,64.2,21.8,22,79.0,14,8,28.0,2,1.87,32.0,18.0,14.0,0.64,-0.18,29.7,22.7,7.0,0.32,-0.35,Matches,Athletic Club,2024,30.0
112,Nico Williams,es ESP,FW,22-301,,1917.0,68.0,62.6,21.3,21,83.0,12,7,26.0,0,1.89,31.0,14.0,17.0,0.8,0.25,29.6,18.9,10.7,0.5,0.15,Matches,Athletic Club,2024,28.0
113,Beñat Prados,es ESP,MF,24-090,,1613.0,58.0,52.7,17.9,20,71.0,5,8,25.0,4,1.82,21.0,13.0,8.0,0.45,-0.55,23.5,18.3,5.2,0.29,-0.33,Matches,Athletic Club,2024,28.0
114,Gorka Guruzeta,es ESP,FW,28-239,,1633.0,49.0,53.4,18.1,19,68.0,3,14,25.0,0,1.82,24.0,13.0,11.0,0.61,-0.21,22.7,18.0,4.6,0.26,-0.41,Matches,Athletic Club,2024,33.0
115,Aitor Paredes,es ESP,DF,25-010,,1632.0,78.0,53.3,18.1,19,84.0,14,2,15.0,9,1.57,31.0,17.0,14.0,0.77,0.14,25.0,18.5,6.5,0.36,-0.19,Matches,Athletic Club,2024,21.0
116,Yuri Berchiche,es ESP,DF,35-088,,1684.0,65.0,55.0,18.7,18,85.0,16,8,19.0,5,1.85,29.0,15.0,14.0,0.75,0.09,26.5,19.7,6.7,0.36,-0.19,Matches,Athletic Club,2024,26.0
117,Yeray Álvarez,es ESP,DF,30-105,,1601.0,84.0,52.3,17.8,18,89.0,17,1,2.0,9,1.79,17.0,11.0,6.0,0.34,-0.77,22.7,15.2,7.5,0.42,-0.05,Matches,Athletic Club,2024,19.0
118,Oihan Sancet,es ESP,MF,25-014,,1470.0,59.0,48.0,16.3,18,69.0,4,7,32.0,1,1.88,34.0,14.0,20.0,1.22,1.0,26.0,15.2,10.8,0.66,0.41,Matches,Athletic Club,2024,25.0
119,Unai Simón,es ESP,GK,27-332,,1530.0,90.0,50.0,17.0,17,90.0,17,0,,4,1.71,24.0,11.0,13.0,0.76,0.12,24.4,16.4,8.0,0.47,0.04,Matches,Athletic Club,2024,17.0
120,Andoni Gorosabel,es ESP,DF,28-278,,1400.0,74.0,45.8,15.6,16,84.0,9,3,20.0,15,1.63,15.0,12.0,3.0,0.19,-0.95,16.4,17.8,-1.4,-0.09,-0.99,Matches,Athletic Club,2024,19.0
121,Óscar de Marcos,es ESP,DF,36-025,,1381.0,60.0,45.1,15.3,15,84.0,10,8,16.0,10,2.04,33.0,9.0,24.0,1.56,1.56,28.6,10.6,18.0,1.17,1.32,Matches,Athletic Club,2024,23.0
122,Iñigo Ruiz de Galarreta,es ESP,MF,31-276,,1247.0,57.0,40.8,13.9,15,68.0,0,7,31.0,1,2.18,25.0,9.0,16.0,1.15,0.76,20.2,12.2,8.0,0.58,0.22,Matches,Athletic Club,2024,22.0
123,Julen Agirrezabala,es ESP,GK,24-134,,1206.0,86.0,39.4,13.4,14,86.0,12,0,,18,2.21,22.0,9.0,13.0,0.97,0.44,19.0,11.0,8.0,0.6,0.25,Matches,Athletic Club,2024,14.0
124,Unai Gómez,es ESP,"MF,FW",21-349,,1104.0,39.0,36.1,12.3,12,61.0,0,16,23.0,4,1.68,11.0,10.0,1.0,0.08,-0.98,14.6,14.7,0.0,0.0,-0.7,Matches,Athletic Club,2024,28.0
125,Adama Boiro,es ESP,DF,22-321,,1004.0,63.0,32.8,11.2,12,75.0,3,4,26.0,16,1.75,16.0,8.0,8.0,0.72,0.02,16.6,10.1,6.5,0.59,0.21,Matches,Athletic Club,2024,16.0
