,Player,Nation,Pos,Age,90s,Att,pass_types_Live,pass_types_Dead,pass_types_FK,pass_types_TB,pass_types_Sw,pass_types_Crs,pass_types_TI,pass_types_CK,corner_kicks_In,corner_kicks_Out,corner_kicks_Str,outcomes_Cmp,outcomes_Off,outcomes_Blocks,Matches,Team,Season
124,Ricardo Rodríguez,ch SUI,DF,32-257,12.3,661,544,116,15,0,3,15,101,0,0,0,0,540,1,7,Matches,Real Betis,2024
125,Antony,br BRA,FW,25-074,12.2,639,603,35,8,3,4,32,15,12,3,4,0,517,1,16,Matches,Real Betis,2024
126,Jesus Rodríguez,es ESP,FW,19-169,10.8,294,285,8,1,0,0,16,4,3,0,1,0,216,1,13,Matches,Real Betis,2024
127,Marc Roca,es ESP,MF,28-164,10.1,538,510,26,24,0,4,10,0,1,0,1,0,465,2,10,Matches,Real Betis,2024
128,Cucho,co COL,FW,26-019,9.7,245,225,19,0,1,4,9,0,0,0,0,0,175,1,8,Matches,Real Betis,2024
129,Aitor Ruibal,es ESP,"DF,FW",29-048,11.0,426,362,60,5,0,1,26,50,2,1,1,0,342,4,11,Matches,Real Betis,2024
130,Ezequiel Ávila,ar ARG,FW,31-092,7.5,238,215,21,3,0,2,29,10,2,1,1,0,166,2,9,Matches,Real Betis,2024
131,Héctor Bellerín,es ESP,DF,30-051,6.4,328,277,51,6,2,0,10,45,0,0,0,0,270,0,6,Matches,Real Betis,2024
132,Cédric Bakambu,cd COD,FW,34-028,6.9,105,101,3,0,1,0,2,0,0,0,0,0,68,1,6,Matches,Real Betis,2024
133,William Carvalho,pt POR,MF,33-032,4.3,301,292,8,8,0,3,1,0,0,0,0,0,261,1,4,Matches,Real Betis,2024
134,Fran Vieites,es ESP,GK,26-002,4.0,119,71,48,19,0,1,0,0,0,0,0,0,76,0,0,Matches,Real Betis,2024
135,Ángel Ortíz,es ESP,DF,20-288,3.8,208,171,36,3,0,0,18,33,0,0,0,0,152,1,10,Matches,Real Betis,2024
136,Iker Losada,es ESP,"MF,FW",23-281,3.7,142,141,1,1,2,1,4,0,0,0,0,0,107,0,6,Matches,Real Betis,2024
137,Assane Diao,sn SEN,FW,19-244,3.1,66,61,5,0,0,0,4,2,0,0,0,0,49,0,4,Matches,Real Betis,2024
138,Juanmi,es ESP,"FW,MF",31-354,2.7,70,67,3,1,0,0,1,2,0,0,0,0,58,0,5,Matches,Real Betis,2024
139,Nabil Fekir,fr FRA,MF,31-295,2.0,82,71,11,3,1,1,10,0,8,3,3,0,67,0,4,Matches,Real Betis,2024
140,Carlos Guirao,es ESP,MF,22-012,1.2,46,43,3,2,0,0,0,1,0,0,0,0,36,0,4,Matches,Real Betis,2024
141,Mateo Flores,es ESP,MF,21-032,1.7,69,67,2,2,0,0,1,0,0,0,0,0,56,0,2,Matches,Real Betis,2024
142,Rodri,es ESP,FW,24-358,1.3,66,61,5,1,0,1,6,1,3,2,1,0,56,0,3,Matches,Real Betis,2024
143,Sergio Arribas,es ESP,DF,22-088,1.0,54,40,13,1,0,0,0,12,0,0,0,0,37,1,2,Matches,Real Betis,2024
144,Pablo Garcia,es ESP,FW,18-267,0.3,8,8,0,0,0,0,1,0,0,0,0,0,5,0,0,Matches,Real Betis,2024
145,Sergi Cardona,es ESP,DF,25-305,30.7,1370,1131,233,23,1,1,105,209,1,0,0,0,1056,6,36,Matches,Villarreal,2024
146,Santi Comesaña,es ESP,MF,28-216,26.1,1291,1260,23,20,6,10,14,2,0,0,0,0,1091,8,22,Matches,Villarreal,2024
147,Kiko Femenía,es ESP,DF,34-096,24.7,1506,1250,254,50,1,8,47,203,0,0,0,0,1339,2,14,Matches,Villarreal,2024
148,Alex Baena,es ESP,MF,23-293,25.2,1153,970,172,46,19,16,188,22,100,39,41,0,766,11,36,Matches,Villarreal,2024
149,Logan Costa,cv CPV,DF,24-038,24.7,1334,1251,83,35,1,14,4,8,0,0,0,0,1162,0,8,Matches,Villarreal,2024
150,Thierno Barry,fr FRA,FW,22-200,24.3,317,308,9,0,3,1,5,0,0,0,0,0,198,0,8,Matches,Villarreal,2024
151,Daniel Parejo,es ESP,MF,36-023,23.2,1454,1361,89,57,3,14,34,1,31,16,5,2,1277,4,11,Matches,Villarreal,2024
152,Pape Gueye,sn SEN,MF,26-105,22.0,1008,960,37,29,8,18,19,1,2,1,0,0,805,11,19,Matches,Villarreal,2024
153,Diego Conde,es ESP,GK,26-193,20.8,606,477,128,32,0,0,0,0,0,0,0,0,486,1,0,Matches,Villarreal,2024
154,Yeremi Pino,es ESP,MF,22-201,18.5,606,598,8,1,4,1,46,6,1,0,0,0,445,0,36,Matches,Villarreal,2024
155,Ayoze Pérez,es ESP,FW,31-284,19.6,391,347,40,2,8,0,15,1,0,0,0,0,293,4,12,Matches,Villarreal,2024
156,Juan Foyth,ar ARG,DF,27-117,13.9,812,733,78,35,3,4,4,35,0,0,0,0,699,1,8,Matches,Villarreal,2024
157,Raúl Albiol,es ESP,DF,39-247,13.2,813,778,33,25,1,4,0,0,0,0,0,0,727,2,3,Matches,Villarreal,2024
158,Luiz Lúcio Reis Júnior,br BRA,GK,24-115,13.2,396,285,111,35,0,1,0,0,0,0,0,0,289,0,1,Matches,Villarreal,2024
159,Nicolas Pépé,ci CIV,"FW,MF",29-345,13.6,541,489,47,11,5,2,39,7,19,11,2,0,423,5,22,Matches,Villarreal,2024
160,Willy Kambwala,fr FRA,DF,20-257,10.4,466,427,36,20,0,2,0,1,0,0,0,0,406,3,4,Matches,Villarreal,2024
161,Eric Bailly,ci CIV,DF,31-027,6.9,320,300,19,11,0,0,0,2,0,0,0,0,280,1,1,Matches,Villarreal,2024
162,Ilias Akhomach,ma MAR,"MF,FW",21-023,6.5,185,177,7,2,1,2,18,2,3,2,0,0,136,1,7,Matches,Villarreal,2024
163,Gerard Moreno,es ESP,FW,33-032,7.2,269,255,10,0,1,1,10,0,0,0,0,0,204,4,9,Matches,Villarreal,2024
164,Denis Suárez,es ESP,MF,31-123,5.9,235,210,21,6,0,5,23,3,11,2,7,0,179,4,7,Matches,Villarreal,2024
165,Pau Navarro,es ESP,DF,20-014,7.2,409,349,58,13,0,1,2,45,0,0,0,0,361,2,2,Matches,Villarreal,2024
166,Tajon Buchanan,ca CAN,MF,26-090,3.3,110,105,4,1,0,0,16,3,0,0,0,0,74,1,4,Matches,Villarreal,2024
167,Arnaut Danjuma,nl NED,FW,28-098,2.2,30,28,2,0,0,1,0,0,0,0,0,0,23,0,1,Matches,Villarreal,2024
168,Alfonso Pedraza,es ESP,"DF,MF",29-030,3.1,140,124,16,1,2,1,21,15,0,0,0,0,97,0,11,Matches,Villarreal,2024
169,Juan Bernat,es ESP,"DF,MF",32-069,2.4,130,110,18,2,0,0,9,14,2,1,1,0,101,2,4,Matches,Villarreal,2024
170,Ramón Terrats,es ESP,"MF,FW",24-203,1.5,79,77,2,1,1,2,5,0,0,0,0,0,64,0,2,Matches,Villarreal,2024
171,Pau Cabanes,es ESP,"MF,FW",20-081,1.8,84,83,1,0,1,0,6,0,1,0,0,0,60,0,4,Matches,Villarreal,2024
172,Arnau Solà,es ESP,MF,22-035,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,Villarreal,2024
