,Player,Nation,Pos,Age,90s,total_Cmp,total_Att,total_Cmp%,total_TotDist,total_PrgDist,short_Cmp,short_Att,short_Cmp%,medium_Cmp,medium_Att,medium_Cmp%,long_Cmp,long_Att,long_Cmp%,Ast,xAG,expected_xA,expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Team,Season
380,Javi Puado,es ESP,"FW,MF",26-349,29.5,464,607,76.4,7132,1245,245,293,83.6,170,203,83.7,31,60,51.7,3,2.3,1.6,0.7,21,33,14,4,67,Matches,Espanyol,2024
381,Leandro Cabrera,uy URU,DF,33-326,29.0,1004,1331,75.4,20675,9424,335,386,86.8,521,600,86.8,138,306,45.1,2,0.9,0.7,1.1,9,82,14,2,64,Matches,Espanyol,2024
382,Alex Král,cz CZE,MF,26-355,29.2,585,816,71.7,9865,2581,284,357,79.6,238,292,81.5,50,101,49.5,1,1.5,1.6,-0.5,12,70,12,4,75,Matches,Espanyol,2024
383,Carlos Romero,es ESP,DF,23-192,24.4,606,840,72.1,10032,3660,298,362,82.3,254,318,79.9,44,109,40.4,1,1.3,1.6,-0.3,23,41,21,8,58,Matches,Espanyol,2024
384,Jofre,es ESP,"MF,FW",23-326,22.4,327,485,67.4,4970,1348,181,219,82.6,114,170,67.1,20,47,42.6,3,2.4,1.8,0.6,22,16,15,9,46,Matches,Espanyol,2024
385,Pol Lozano,es ESP,MF,25-215,19.8,641,763,84.0,11551,3980,265,296,89.5,295,340,86.8,65,91,71.4,1,0.8,1.0,0.2,17,89,11,4,108,Matches,Espanyol,2024
386,Roberto Férnandez,es ESP,FW,22-310,13.1,144,200,72.0,1649,253,93,113,82.3,31,50,62.0,2,2,100.0,0,0.2,0.2,-0.2,4,8,6,0,15,Matches,Espanyol,2024
387,Álvaro Tejero,es ESP,"MF,DF",28-293,13.2,408,572,71.3,7469,2794,174,195,89.2,175,215,81.4,48,121,39.7,4,2.7,3.2,1.3,30,25,18,11,42,Matches,Espanyol,2024
388,Urko González,es ESP,MF,24-050,11.5,245,315,77.8,4250,1349,108,133,81.2,106,125,84.8,24,35,68.6,1,0.6,0.6,0.4,7,24,4,0,44,Matches,Espanyol,2024
389,Brian Oliván,es ESP,DF,31-038,11.3,317,458,69.2,5671,2788,145,156,92.9,134,192,69.8,34,87,39.1,1,1.1,0.8,-0.1,15,44,12,9,40,Matches,Espanyol,2024
390,Antoniu,es ESP,"MF,FW",22-246,9.8,136,198,68.7,1916,580,79,94,84.0,45,64,70.3,4,14,28.6,1,1.1,1.0,-0.1,7,10,6,3,26,Matches,Espanyol,2024
391,Alejo Véliz,ar ARG,FW,21-232,11.2,112,169,66.3,1483,163,72,96,75.0,27,44,61.4,7,9,77.8,0,0.5,0.1,-0.5,2,8,0,0,7,Matches,Espanyol,2024
392,Edu Expósito,es ESP,MF,28-281,8.0,211,326,64.7,3828,1406,89,100,89.0,79,118,66.9,30,76,39.5,2,2.0,1.7,0.0,20,28,7,1,47,Matches,Espanyol,2024
393,José Gragera,es ESP,MF,24-160,6.3,190,217,87.6,3436,848,74,87,85.1,101,106,95.3,12,17,70.6,0,0.0,0.1,0.0,1,14,0,0,14,Matches,Espanyol,2024
394,Sergi Gómez,es ESP,DF,33-042,7.2,309,348,88.8,6063,1896,89,96,92.7,190,198,96.0,29,51,56.9,0,0.0,0.0,0.0,0,3,0,0,8,Matches,Espanyol,2024
395,Walid Cheddira,ma MAR,FW,27-107,6.8,68,95,71.6,956,232,37,48,77.1,24,30,80.0,2,5,40.0,1,1.2,0.4,-0.2,6,3,1,0,11,Matches,Espanyol,2024
396,Irvin Cardona,fr FRA,"FW,MF",27-274,6.7,100,161,62.1,1428,432,56,73,76.7,31,49,63.3,6,21,28.6,1,0.6,1.2,0.4,9,9,11,4,15,Matches,Espanyol,2024
397,Álvaro Aguado,es ESP,MF,29-008,4.8,188,242,77.7,3689,1170,60,77,77.9,97,114,85.1,28,40,70.0,1,0.6,0.4,0.4,4,31,8,3,36,Matches,Espanyol,2024
398,Fernando Calero,es ESP,"DF,MF",29-237,5.3,177,211,83.9,3605,1370,57,60,95.0,88,99,88.9,29,43,67.4,0,0.0,0.0,0.0,2,8,0,0,8,Matches,Espanyol,2024
399,Justin Smith,ca CAN,MF,22-094,2.3,40,61,65.6,654,165,16,25,64.0,20,26,76.9,2,6,33.3,0,0.0,0.0,0.0,1,3,0,0,6,Matches,Espanyol,2024
400,Rafael Bauza,es ESP,MF,20-099,2.0,46,54,85.2,779,192,24,25,96.0,17,20,85.0,4,7,57.1,0,0.0,0.0,0.0,0,3,1,0,7,Matches,Espanyol,2024
401,Pere Milla,es ESP,"MF,FW",32-228,3.5,65,118,55.1,1055,294,31,46,67.4,24,37,64.9,7,18,38.9,0,0.1,0.2,-0.1,2,5,2,0,6,Matches,Espanyol,2024
402,Naci Ünüvar,nl NED,"MF,DF",21-330,0.3,13,18,72.2,193,38,7,8,87.5,3,3,100.0,2,4,50.0,0,0.0,0.1,0.0,1,1,1,1,1,Matches,Espanyol,2024
403,Roger Hinojo,es ESP,DF,20-077,0.1,5,10,50.0,51,3,4,5,80.0,1,1,100.0,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Espanyol,2024
404,Paulo Gazzaniga,ar ARG,GK,33-127,33.5,931,1158,80.4,22328,14841,222,223,99.6,515,527,97.7,193,400,48.3,0,0.0,0.0,0.0,0,11,0,0,0,Matches,Girona,2024
405,Miguel Gutiérrez,es ESP,"DF,MF",23-286,27.3,1241,1502,82.6,20464,4847,647,700,92.4,473,553,85.5,93,163,57.1,5,4.1,4.6,0.9,41,59,51,27,103,Matches,Girona,2024
406,Daley Blind,nl NED,DF,35-061,26.9,2087,2352,88.7,38463,13598,894,954,93.7,958,1039,92.2,221,303,72.9,2,1.6,2.3,0.4,17,276,22,6,242,Matches,Girona,2024
407,Arnau Martinez,es ESP,"DF,MF",22-014,25.7,1431,1665,85.9,22893,6269,726,781,93.0,605,684,88.5,79,134,59.0,2,1.8,1.5,0.2,17,138,12,3,146,Matches,Girona,2024
408,David López,es ESP,DF,35-212,25.0,1729,1884,91.8,32793,11442,554,584,94.9,1037,1079,96.1,128,198,64.6,0,0.1,0.6,-0.1,3,134,6,0,119,Matches,Girona,2024
409,Ladislav Krejčí,cz CZE,DF,26-019,24.1,1756,1947,90.2,31777,11087,659,693,95.1,966,1021,94.6,114,198,57.6,0,0.3,0.7,-0.3,8,139,11,2,132,Matches,Girona,2024
410,Yangel Herrera,ve VEN,MF,27-115,22.3,783,967,81.0,12806,3297,386,433,89.1,332,390,85.1,46,85,54.1,3,1.5,1.2,1.5,17,91,12,2,105,Matches,Girona,2024
411,Iván Martín,es ESP,MF,26-084,20.4,1160,1286,90.2,18215,3535,584,628,93.0,471,512,92.0,66,78,84.6,1,1.8,2.0,-0.8,21,95,14,3,118,Matches,Girona,2024
412,Bryan Gil,es ESP,"FW,MF",24-087,19.1,621,759,81.8,8853,1808,380,420,90.5,198,238,83.2,23,50,46.0,3,2.9,3.2,0.1,21,27,33,7,74,Matches,Girona,2024
413,Viktor Tsyhankov,ua UKR,"FW,MF",27-175,17.6,553,735,75.2,8361,2253,311,359,86.6,159,212,75.0,45,101,44.6,4,2.8,4.2,1.2,29,32,22,6,59,Matches,Girona,2024
414,Donny van de Beek,nl NED,MF,28-021,15.8,365,447,81.7,5265,1056,216,242,89.3,120,147,81.6,16,24,66.7,2,3.2,3.6,-1.2,18,21,11,0,45,Matches,Girona,2024
415,Oriol Romeu,es ESP,MF,33-227,13.8,737,818,90.1,12790,2801,324,349,92.8,343,367,93.5,60,77,77.9,0,0.3,0.7,-0.3,8,75,2,1,69,Matches,Girona,2024
416,Abel Ruiz,es ESP,FW,25-101,13.6,215,245,87.8,3252,425,124,135,91.9,75,79,94.9,14,21,66.7,0,0.4,0.7,-0.4,7,14,5,0,20,Matches,Girona,2024
417,Arnaut Danjuma,nl NED,"FW,MF",28-098,14.6,310,429,72.3,5308,1453,156,181,86.2,115,152,75.7,31,60,51.7,0,1.6,2.3,-1.6,21,17,24,8,41,Matches,Girona,2024
418,Yaser Asprilla,co COL,"FW,MF",21-171,12.6,393,543,72.4,7046,1921,185,213,86.9,153,197,77.7,49,95,51.6,0,2.0,2.8,-2.0,19,31,33,7,68,Matches,Girona,2024
419,Bojan Miovski,mk MKD,FW,25-319,9.5,82,109,75.2,1188,104,47,56,83.9,31,40,77.5,3,3,100.0,1,0.2,0.2,0.8,3,2,1,1,4,Matches,Girona,2024
420,Alejandro Francés,es ESP,DF,22-281,10.6,565,665,85.0,10531,3034,222,243,91.4,281,298,94.3,58,98,59.2,0,0.0,0.4,0.0,2,45,6,3,48,Matches,Girona,2024
421,Arthur Melo,br BRA,MF,28-270,7.3,490,524,93.5,9000,2020,183,193,94.8,254,265,95.8,45,52,86.5,0,0.2,0.5,-0.2,2,53,3,1,55,Matches,Girona,2024
422,Juanpe,es ESP,DF,34-009,6.8,440,505,87.1,9236,3033,116,125,92.8,264,279,94.6,58,92,63.0,0,0.1,0.1,-0.1,2,29,1,0,25,Matches,Girona,2024
423,Cristhian Stuani,uy URU,FW,38-209,9.2,82,116,70.7,1058,109,52,66,78.8,24,36,66.7,2,6,33.3,2,0.6,1.0,1.4,6,0,2,0,7,Matches,Girona,2024
424,Portu,es ESP,"FW,MF",32-353,6.2,134,190,70.5,1886,362,86,109,78.9,41,48,85.4,5,18,27.8,2,1.6,1.5,0.4,12,8,7,3,14,Matches,Girona,2024
425,Jhon Solis,co COL,MF,20-218,5.2,243,267,91.0,3699,853,129,134,96.3,103,114,90.4,7,11,63.6,0,0.1,0.3,-0.1,2,26,1,1,27,Matches,Girona,2024
426,Silvi Clúa,es ESP,MF,20-100,1.8,75,95,78.9,1302,271,31,37,83.8,36,42,85.7,5,8,62.5,0,0.0,0.0,0.0,1,3,0,0,3,Matches,Girona,2024
427,Gabriel Osei Misehouy,nl NED,"FW,MF",19-295,2.9,90,103,87.4,1327,247,50,53,94.3,39,41,95.1,0,8,0.0,0,0.3,0.3,-0.3,4,11,4,0,15,Matches,Girona,2024
428,Iker Almena,es ESP,"FW,DF",21-005,0.5,23,32,71.9,328,34,13,14,92.9,10,14,71.4,0,1,0.0,1,0.7,0.4,0.3,2,0,0,0,2,Matches,Girona,2024
429,Papa Ba,es ESP,MF,20-239,0.5,5,13,38.5,79,7,3,8,37.5,1,2,50.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches,Girona,2024
430,Pau López,es ESP,GK,30-147,0.5,18,24,75.0,545,414,2,2,100.0,12,12,100.0,4,10,40.0,0,0.0,0.1,0.0,0,2,1,0,0,Matches,Girona,2024
431,Kim Minsu,kr KOR,"MF,FW",19-110,0.2,9,10,90.0,105,8,5,6,83.3,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Girona,2024
432,Ferrán Ruiz,es ESP,MF,22-013,0.2,3,6,50.0,39,15,2,3,66.7,1,3,33.3,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches,Girona,2024
433,Dodi Lukebakio,be BEL,FW,27-227,31.4,711,963,73.8,11284,2474,415,474,87.6,216,287,75.3,65,146,44.5,2,4.3,3.9,-2.3,51,44,23,6,82,Matches,Sevilla,2024
434,Carmona,es ESP,DF,23-100,30.0,1359,1684,80.7,22106,8279,670,761,88.0,590,700,84.3,68,141,48.2,0,1.5,0.7,-1.5,16,91,13,5,102,Matches,Sevilla,2024
435,Loïc Bade,fr FRA,DF,25-028,28.2,1502,1751,85.8,29927,11499,521,554,94.0,818,871,93.9,157,294,53.4,1,0.7,0.2,0.3,4,87,3,0,59,Matches,Sevilla,2024
436,Ørjan Nyland,no NOR,GK,34-241,26.7,584,913,64.0,15506,11616,146,147,99.3,270,278,97.1,167,482,34.6,0,0.3,0.1,-0.3,4,21,2,0,1,Matches,Sevilla,2024
437,Isaac Romero,es ESP,FW,24-356,23.4,297,424,70.0,4736,633,167,213,78.4,86,124,69.4,29,41,70.7,2,2.1,2.1,-0.1,19,17,10,3,25,Matches,Sevilla,2024
438,Adrià Pedrosa,es ESP,DF,26-361,23.5,805,1098,73.3,13722,4915,391,434,90.1,346,444,77.9,55,163,33.7,1,1.4,1.2,-0.4,16,61,16,9,73,Matches,Sevilla,2024
439,Nemanja Gudelj,rs SRB,"MF,DF",33-174,24.3,1055,1217,86.7,17872,5216,484,513,94.3,490,537,91.2,63,129,48.8,1,0.6,0.9,0.4,14,63,7,0,49,Matches,Sevilla,2024
440,Kike Salas,es ESP,DF,23-016,21.4,991,1263,78.5,18846,6730,380,422,90.0,516,597,86.4,90,221,40.7,2,0.6,0.8,1.4,6,64,3,1,54,Matches,Sevilla,2024
441,Djibril Sow,ch SUI,MF,28-092,20.7,802,903,88.8,12919,3223,404,442,91.4,332,360,92.2,49,65,75.4,1,1.6,0.9,-0.6,21,78,10,1,92,Matches,Sevilla,2024
442,Lucien Agoume,fr FRA,MF,23-089,19.5,823,1005,81.9,13016,4307,443,491,90.2,294,347,84.7,64,110,58.2,1,2.0,1.1,-1.0,17,97,10,1,100,Matches,Sevilla,2024
443,Saúl Ñíguez,es ESP,MF,30-169,16.2,484,618,78.3,8064,2205,236,273,86.4,205,243,84.4,30,61,49.2,6,2.4,2.2,3.6,21,48,8,2,62,Matches,Sevilla,2024
444,Albert Sambi Lokonga,be BEL,MF,25-199,15.6,770,861,89.4,12596,3721,397,422,94.1,305,333,91.6,53,81,65.4,2,0.9,0.8,1.1,18,78,7,0,86,Matches,Sevilla,2024
445,Juanlu Sánchez,es ESP,"MF,DF",21-267,15.5,426,523,81.5,6134,1638,253,281,90.0,164,190,86.3,5,18,27.8,4,2.5,1.5,1.5,22,40,11,5,49,Matches,Sevilla,2024
446,Peque,es ESP,"MF,FW",22-217,11.4,240,305,78.7,3545,792,142,167,85.0,72,90,80.0,16,23,69.6,1,1.2,0.9,-0.2,11,22,4,1,29,Matches,Sevilla,2024
447,Chidera Ejuke,ng NGA,FW,27-127,10.6,353,434,81.3,5650,1023,195,216,90.3,116,139,83.5,32,48,66.7,1,1.6,0.8,-0.6,17,16,18,3,37,Matches,Sevilla,2024
448,Ruben Vargas,ch SUI,"FW,MF",26-277,7.5,166,247,67.2,2714,696,94,113,83.2,51,74,68.9,16,39,41.0,1,0.8,0.9,0.2,13,11,9,5,14,Matches,Sevilla,2024
449,Álvaro Fernández,es ESP,GK,27-026,7.3,185,293,63.1,4960,3505,44,44,100.0,92,93,98.9,49,155,31.6,0,0.1,0.0,-0.1,1,6,0,0,0,Matches,Sevilla,2024
450,Tanguy Nianzou,fr FRA,DF,22-336,5.8,285,314,90.8,4654,1465,131,139,94.2,143,155,92.3,7,15,46.7,0,0.0,0.0,0.0,0,6,0,0,10,Matches,Sevilla,2024
451,Marcão,br BRA,DF,28-338,5.1,230,261,88.1,3967,1586,105,108,97.2,109,119,91.6,15,27,55.6,0,0.0,0.0,0.0,0,12,0,0,17,Matches,Sevilla,2024
452,Kelechi Iheanacho,ng NGA,FW,28-218,4.4,60,80,75.0,831,125,36,44,81.8,15,25,60.0,4,5,80.0,0,0.3,0.2,-0.3,5,1,1,0,5,Matches,Sevilla,2024
453,Jesús Navas,es ESP,"FW,MF",39-169,4.7,203,262,77.5,3443,816,105,117,89.7,71,88,80.7,22,38,57.9,0,0.5,0.6,-0.5,10,16,6,5,23,Matches,Sevilla,2024
454,Valentín Barco,ar ARG,"DF,FW",20-290,3.2,139,191,72.8,2139,895,77,88,87.5,38,53,71.7,13,30,43.3,0,0.6,0.3,-0.6,6,12,3,0,13,Matches,Sevilla,2024
455,Stanis Idumbo,be BEL,"FW,MF",19-314,3.2,63,76,82.9,1003,217,34,39,87.2,24,26,92.3,5,8,62.5,1,0.7,0.1,0.3,6,2,1,0,8,Matches,Sevilla,2024
456,Lucas Ocampos,ar ARG,FW,30-302,1.9,65,91,71.4,1020,296,36,45,80.0,19,23,82.6,6,11,54.5,1,0.3,0.1,0.7,3,8,2,1,7,Matches,Sevilla,2024
457,Suso,es ESP,"FW,MF",31-171,3.5,159,213,74.6,2686,978,77,85,90.6,58,68,85.3,17,42,40.5,1,0.6,0.7,0.4,14,25,8,1,31,Matches,Sevilla,2024
458,Álvaro Pascual,es ESP,FW,23-128,2.2,9,13,69.2,174,41,2,3,66.7,6,7,85.7,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,0,Matches,Sevilla,2024
459,Akor Adams,ng NGA,FW,25-100,1.5,20,27,74.1,334,48,9,12,75.0,7,9,77.8,3,5,60.0,0,0.0,0.0,0.0,0,3,1,0,5,Matches,Sevilla,2024
460,Manu Bueno,es ESP,"MF,FW",20-286,1.3,51,57,89.5,846,94,24,26,92.3,20,22,90.9,4,5,80.0,0,0.0,0.0,0.0,0,4,1,0,3,Matches,Sevilla,2024
461,Gonzalo Montiel,ar ARG,"DF,MF",28-128,1.3,68,78,87.2,1288,364,29,30,96.7,33,37,89.2,6,10,60.0,0,0.0,0.1,0.0,0,8,1,1,2,Matches,Sevilla,2024
462,Ramón Martínez,es ESP,DF,22-199,1.1,44,49,89.8,971,246,11,11,100.0,23,26,88.5,10,11,90.9,0,0.0,0.0,0.0,0,4,0,0,2,Matches,Sevilla,2024
463,Diego Iturralde,es ESP,FW,22-023,0.4,5,7,71.4,53,0,4,4,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Sevilla,2024
464,Israel Domínguez,es ESP,FW,22-002,0.2,2,2,100.0,24,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Sevilla,2024
465,Leandro Antonetti,pr PUR,FW,22-116,0.1,1,1,100.0,10,6,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,Matches,Sevilla,2024
466,Mateo Mejía,es ESP,FW,22-039,0.1,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Sevilla,2024
467,Darío Fuentes,es ESP,DF,22-117,0.1,0,2,0.0,0,0,0,0,,0,2,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Sevilla,2024
468,Carlos Vicente,es ESP,"FW,MF",26-016,30.4,630,991,63.6,10683,3653,335,426,78.6,215,316,68.0,69,159,43.4,5,5.1,5.3,-0.1,57,34,34,28,62,Matches,Alaves,2024
469,Nahuel Tenaglia,ar ARG,DF,29-077,29.3,918,1257,73.0,16009,7351,413,482,85.7,428,558,76.7,66,155,42.6,1,1.5,1.3,-0.5,18,80,19,9,94,Matches,Alaves,2024
470,Abdel Abqar,ma MAR,DF,26-060,27.4,719,939,76.6,16039,5771,180,194,92.8,421,460,91.5,114,258,44.2,1,0.3,0.4,0.7,8,67,10,2,79,Matches,Alaves,2024
471,Antonio Sivera,es ESP,GK,28-271,27.2,469,844,55.6,19452,17273,36,36,100.0,145,147,98.6,286,656,43.6,0,0.1,0.1,-0.1,1,35,1,0,1,Matches,Alaves,2024
472,Antonio Blanco,es ESP,MF,24-290,26.6,896,1127,79.5,16640,6006,370,440,84.1,407,469,86.8,102,164,62.2,1,1.5,1.8,-0.5,13,127,19,9,130,Matches,Alaves,2024
473,Kiké,es ESP,FW,35-165,25.6,348,529,65.8,4835,840,206,272,75.7,99,153,64.7,19,43,44.2,0,0.9,1.5,-0.9,13,27,6,1,45,Matches,Alaves,2024
474,Manu Sánchez,es ESP,DF,24-258,25.5,715,995,71.9,11406,4394,375,435,86.2,287,374,76.7,40,118,33.9,0,0.7,1.2,-0.7,13,49,20,12,73,Matches,Alaves,2024
475,Jon Guridi,es ESP,"MF,FW",30-070,20.0,488,652,74.8,7457,1866,260,334,77.8,177,221,80.1,32,48,66.7,1,1.1,0.8,-0.1,16,48,9,2,74,Matches,Alaves,2024
476,Moussa Diarra,ml MLI,DF,24-180,19.7,641,800,80.1,11607,5087,264,294,89.8,321,373,86.1,49,101,48.5,0,0.1,0.4,-0.1,3,43,8,3,69,Matches,Alaves,2024
477,Ander Guevara,es ESP,MF,27-306,18.6,665,860,77.3,11795,3599,276,329,83.9,318,387,82.2,58,95,61.1,1,0.5,0.5,0.5,9,87,8,0,103,Matches,Alaves,2024
478,Santiago Mouriño,uy URU,DF,23-085,17.5,462,592,78.0,8492,3640,188,218,86.2,220,261,84.3,49,95,51.6,1,0.8,0.6,0.2,6,40,5,2,41,Matches,Alaves,2024
479,Carlos Martín,es ESP,"FW,MF",23-017,14.5,255,389,65.6,3681,885,138,191,72.3,94,125,75.2,11,33,33.3,2,2.7,1.4,-0.7,12,15,7,4,20,Matches,Alaves,2024
480,Joan Jordán,es ESP,MF,30-307,15.1,670,893,75.0,12708,3972,298,340,87.6,258,319,80.9,97,191,50.8,2,2.3,2.4,-0.3,29,102,13,4,101,Matches,Alaves,2024
481,Tomás Conechny,ar ARG,"FW,MF",27-040,8.8,198,308,64.3,3102,985,108,150,72.0,75,108,69.4,10,28,35.7,0,0.3,0.8,-0.3,7,12,11,8,19,Matches,Alaves,2024
482,Carles Aleñá,es ESP,"MF,FW",27-124,8.5,272,359,75.8,4070,1061,152,170,89.4,90,118,76.3,19,36,52.8,2,0.7,0.8,1.3,11,28,7,2,46,Matches,Alaves,2024
483,Toni Martínez,es ESP,"FW,MF",27-313,10.1,128,216,59.3,1552,277,87,119,73.1,31,62,50.0,3,8,37.5,0,0.6,0.9,-0.6,11,11,4,1,11,Matches,Alaves,2024
484,Stoichkov,es ESP,"MF,FW",31-185,7.8,132,214,61.7,2161,697,61,82,74.4,50,73,68.5,14,33,42.4,1,1.2,0.7,-0.2,7,16,10,1,26,Matches,Alaves,2024
485,Aleksandar Sedlar,rs SRB,DF,33-147,5.7,170,208,81.7,3465,1294,50,56,89.3,92,110,83.6,26,37,70.3,0,0.0,0.0,0.0,0,13,0,0,12,Matches,Alaves,2024
486,Jesús Owono,gq EQG,GK,24-069,5.4,99,163,60.7,3878,3470,10,10,100.0,36,36,100.0,53,115,46.1,0,0.0,0.0,0.0,0,5,0,0,0,Matches,Alaves,2024
487,Pica,es ESP,DF,23-128,5.4,152,198,76.8,3075,1318,46,58,79.3,83,95,87.4,23,41,56.1,0,0.0,0.0,0.0,1,13,1,0,15,Matches,Alaves,2024
488,Carlos Benavídez,uy URU,MF,27-040,4.4,127,180,70.6,2424,734,54,66,81.8,52,66,78.8,18,38,47.4,1,0.6,0.3,0.4,3,19,3,0,22,Matches,Alaves,2024
489,Abderrahman Rebbach,dz ALG,"FW,MF",26-271,4.3,74,118,62.7,1234,255,41,58,70.7,24,35,68.6,8,17,47.1,0,0.3,0.4,-0.3,6,2,5,3,5,Matches,Alaves,2024
490,Facundo Garcés,ar ARG,DF,25-246,3.5,65,85,76.5,1381,611,15,16,93.8,39,50,78.0,11,17,64.7,0,0.2,0.0,-0.2,2,4,1,0,4,Matches,Alaves,2024
491,Asier Villalibre,es ESP,FW,27-221,3.5,42,65,64.6,622,143,27,36,75.0,12,22,54.5,3,4,75.0,1,1.0,0.3,0.0,1,3,4,0,7,Matches,Alaves,2024
492,Hugo Novoa,es ESP,"DF,MF",22-128,2.6,53,69,76.8,798,261,35,43,81.4,12,16,75.0,4,4,100.0,0,0.2,0.2,-0.2,2,0,2,2,2,Matches,Alaves,2024
493,Luka Romero,ar ARG,"FW,MF",20-172,2.2,34,49,69.4,515,110,18,24,75.0,14,14,100.0,1,8,12.5,0,0.2,0.4,-0.2,4,0,1,1,0,Matches,Alaves,2024
494,Pau Cabanes,es ESP,"MF,FW",20-081,2.0,57,81,70.4,705,87,34,41,82.9,19,28,67.9,0,4,0.0,0,0.0,0.1,0.0,1,2,1,0,4,Matches,Alaves,2024
495,Adrian Rodriguez,es ESP,GK,24-148,1.4,19,50,38.0,1160,1084,1,1,100.0,0,0,,18,48,37.5,0,0.0,0.0,0.0,0,1,0,0,0,Matches,Alaves,2024
496,Luis Rioja,es ESP,FW,31-205,0.3,5,11,45.5,70,27,3,4,75.0,2,5,40.0,0,1,0.0,0,0.1,0.1,-0.1,1,0,0,0,1,Matches,Alaves,2024
497,Alberto Moleiro,es ESP,"FW,MF",21-221,27.4,766,938,81.7,10892,2512,466,529,88.1,244,291,83.8,32,56,57.1,1,3.0,3.2,-2.0,37,70,27,4,108,Matches,Las Palmas,2024
498,Álex Suárez,es ESP,DF,32-052,25.8,1119,1296,86.3,20879,7666,396,416,95.2,622,675,92.1,84,167,50.3,0,0.1,0.2,-0.1,3,49,3,0,51,Matches,Las Palmas,2024
499,Javier Muñoz,es ESP,"MF,DF",30-070,27.8,890,1141,78.0,15416,4498,428,494,86.6,338,418,80.9,95,162,58.6,3,2.5,2.3,0.5,29,109,32,13,105,Matches,Las Palmas,2024
500,Jasper Cillessen,nl NED,GK,36-017,25.9,683,1002,68.2,18003,13417,147,149,98.7,340,347,98.0,194,501,38.7,0,0.0,0.0,0.0,0,15,0,0,0,Matches,Las Palmas,2024
501,Scott McKenna,sct SCO,DF,28-178,25.4,1165,1344,86.7,21442,7071,407,440,92.5,665,730,91.1,78,142,54.9,0,0.7,0.4,-0.7,3,47,1,0,41,Matches,Las Palmas,2024
502,Mika Mármol,es ESP,DF,23-312,23.7,1004,1320,76.1,18235,8080,438,491,89.2,437,526,83.1,113,251,45.0,1,1.3,1.9,-0.3,12,105,13,7,93,Matches,Las Palmas,2024
503,Sandro Ramírez,es ESP,"FW,MF",29-304,21.4,412,640,64.4,6905,2183,196,257,76.3,162,220,73.6,38,100,38.0,3,3.3,3.2,-0.3,26,30,9,3,47,Matches,Las Palmas,2024
504,Fábio Silva,pt POR,FW,22-294,20.7,309,466,66.3,4149,710,181,250,72.4,83,125,66.4,16,29,55.2,3,2.0,1.8,1.0,16,13,14,3,26,Matches,Las Palmas,2024
505,Dario Essugo,pt POR,MF,20-056,18.9,701,829,84.6,12052,3273,322,365,88.2,304,344,88.4,62,88,70.5,0,0.3,0.6,-0.3,11,68,8,0,65,Matches,Las Palmas,2024
506,Kirian Rodríguez,es ESP,MF,29-065,19.5,1026,1204,85.2,16191,4876,546,597,91.5,379,429,88.3,75,120,62.5,3,1.5,1.4,1.5,16,106,14,1,128,Matches,Las Palmas,2024
507,Viti,es ESP,DF,27-235,19.5,666,827,80.5,10897,3767,320,352,90.9,294,365,80.5,39,71,54.9,2,1.3,1.2,0.7,11,37,12,7,43,Matches,Las Palmas,2024
508,Oliver McBurnie,sct SCO,FW,28-339,17.4,253,381,66.4,3135,738,169,233,72.5,58,93,62.4,6,8,75.0,6,2.6,1.0,3.4,22,23,7,1,26,Matches,Las Palmas,2024
509,Álex Muñoz,es ESP,DF,30-283,15.2,590,741,79.6,9450,3364,288,324,88.9,270,335,80.6,26,54,48.1,0,0.5,0.7,-0.5,7,34,9,8,45,Matches,Las Palmas,2024
510,José Campaña,es ESP,MF,31-343,12.2,642,759,84.6,11225,3883,291,319,91.2,259,296,87.5,70,105,66.7,3,0.8,0.9,2.2,11,65,12,4,77,Matches,Las Palmas,2024
511,Juan Herzog,es ESP,DF,21-361,10.7,392,458,85.6,7462,2373,128,143,89.5,222,241,92.1,36,59,61.0,0,0.0,0.0,0.0,0,13,0,0,19,Matches,Las Palmas,2024
512,Stefan Bajcetic,es ESP,"MF,DF",20-199,9.3,268,372,72.0,5347,1476,104,128,81.3,116,141,82.3,44,82,53.7,0,0.2,0.3,-0.2,6,26,7,0,35,Matches,Las Palmas,2024
513,Marvin,es ESP,"DF,FW",24-310,9.1,279,386,72.3,4752,1333,134,153,87.6,110,149,73.8,26,49,53.1,0,1.1,1.1,-1.1,6,22,13,10,22,Matches,Las Palmas,2024
