,Player,Nation,Pos,Age,90s,total_Cmp,total_Att,total_Cmp%,total_TotDist,total_PrgDist,short_Cmp,short_Att,short_Cmp%,medium_Cmp,medium_Att,medium_Cmp%,long_Cmp,long_Att,long_Cmp%,Ast,xAG,expected_xA,expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Team,Season
61,Giuliano Simeone,ar ARG,MF,22-142,19.0,542,716,75.7,6516,1935,386,447,86.4,115,162,71.0,10,26,38.5,6,4.3,4.3,1.7,20,29,25,10,46,Matches,Atletico Madrid,2024
62,Robin Le Normand,es ESP,DF,28-179,20.9,1008,1121,89.9,17471,5351,385,412,93.4,554,581,95.4,52,102,51.0,0,0.5,1.0,-0.5,3,37,2,0,47,Matches,Atletico Madrid,2024
63,Clément Lenglet,fr FRA,DF,29-326,19.9,1066,1229,86.7,21606,8796,334,360,92.8,587,626,93.8,138,222,62.2,1,1.1,0.7,-0.1,4,66,0,0,72,Matches,Atletico Madrid,2024
64,Rodrigo De Paul,ar ARG,MF,30-350,20.0,1203,1479,81.3,20503,6338,593,653,90.8,436,518,84.2,139,230,60.4,4,4.2,4.9,-0.2,36,149,48,13,193,Matches,Atletico Madrid,2024
65,Conor Gallagher,eng ENG,MF,25-092,17.2,652,770,84.7,8966,1916,401,438,91.6,201,236,85.2,21,39,53.8,2,1.1,1.1,0.9,11,43,12,1,56,Matches,Atletico Madrid,2024
66,José María Giménez,uy URU,DF,30-109,20.2,1112,1218,91.3,22839,8579,318,337,94.4,639,669,95.5,145,195,74.4,1,0.2,0.3,0.8,2,50,0,0,53,Matches,Atletico Madrid,2024
67,Javi Galán,es ESP,DF,30-171,17.3,756,909,83.2,11242,3324,444,478,92.9,242,299,80.9,49,79,62.0,2,3.5,2.8,-1.5,12,40,18,11,47,Matches,Atletico Madrid,2024
68,Samuel Lino,br BRA,"MF,DF",25-137,14.4,547,693,78.9,8447,2009,309,349,88.5,176,217,81.1,42,62,67.7,2,2.4,1.5,-0.4,17,36,21,5,64,Matches,Atletico Madrid,2024
69,Koke,es ESP,MF,33-121,17.9,1131,1306,86.6,17891,5464,589,646,91.2,418,460,90.9,80,126,63.5,1,1.2,1.4,-0.2,11,101,17,5,105,Matches,Atletico Madrid,2024
70,Nahuel Molina,ar ARG,DF,27-033,16.0,859,1077,79.8,12939,4785,490,538,91.1,297,374,79.4,46,97,47.4,3,1.4,1.5,1.6,12,42,17,5,56,Matches,Atletico Madrid,2024
71,Alexander Sørloth,no NOR,FW,29-155,14.8,198,313,63.3,2514,527,122,188,64.9,53,78,67.9,5,7,71.4,2,1.6,0.6,0.4,12,17,8,1,26,Matches,Atletico Madrid,2024
